,Question,Answers,Right Index
0,What is one reason to click Object > Text Frame Options?,"['to change the number of columns in a text frame', 'to apply a drop shadow to the frame', 'to change the corners of a frame from corner to rounded', 'to change the fill and stroke of a text frame']",0
1,Which panel allows you to add an arrowhead to the end of a line?,"['Effects', 'Stroke', 'Transform', 'Pathfinder']",1
2,"In the image shown, what do you know about the Body Text paragraph style?","['The selected text was not formatted using the style definition.', 'The selected text is in overset text outside the boundaries of the current frame.', 'The style has been applied to two or more paragraphs.', 'The style has been added since the master styles were created.']",0
3,You want to ensure that an image on your page is exactly 25% of its original size. How can you determine whether the image is set to the desired size?,"['Double-click the image with the Selection tool.', 'Select the graphic frame with the Selection tool.', 'Click Window > Info.', 'Click Object > Fitting.']",0
4,You have an empty one-page InDesign document. You have used File > Place to select a Word document that contains many pages of text. What will help you place the full story quickly?,"['Select Show Import Options in the Place dialog box.', 'Right-click the page with the place cursor.', 'Shift-click with the place cursor inside the margin guides.', 'In the Pages panel, click the New Pages button with the place cursor.']",2
5,You select a graphic frame that contains a Photoshop image and use the Scale field in the Control panel to enlarge it to 200%. What happens to the effective image resolution?,"['The resolution doubles.', 'Effective image resolution stays the same until you choose from the View > Display Performance menu.', 'Effective image resolution is set in Photoshop, not in InDesign, so it stays the same.', 'Correct The resolution is cut in half.']",3
6,What is one reason you might want to use the Text Variables feature?,"['to create captions underneath images that update automatically', 'to include calculations inside a dynamic table', 'to adjust text size automatically to fill the frame', 'to create running headers that include chapter names']",3
7,You want to place 4 of a multipage PDF into an InDesign document. What should you do?,"['In the Place dialog box, select Show Import Options.', 'Import the PDF with the Media panel instead of File>Place', 'Open the PDF in Acrobat, select page 4, and drag it into InDesign.', 'After placing the PDF, disable the unwanted pages in the Media panel.']",0
8,"Suppose that master page B is based on master page A, and you are currently editing master B. Which statement is true?","['Objects on master page A are not visible.', 'Objects on master page A must always appear behind objects from master page B.', 'Objects on master page A cannot be selected unless you override the objects.', 'Objects on master page A cannot be selected or changed.']",2
9,"In the image shown, the text is on a path. You want to move the text farther to the right along the path. How can you accomplish this?","['Drag the blue square D.', 'Drag the side handle B', 'Drag the slanted line A.', 'Drag the center tick mark C.']",2
10,"When you select a rectangular frame on the page, InDesign displays a yellow square near the frame's upper-right corner. What does this allow you to do?","['Change the corners from square to rounded.', 'Anchor the object into another frame.', 'Change teh layer or z-order of the frame.', 'Link the frame to another frame.']",0
11,What action can the Pen tool perform on a selected object?,"['The Pen tool cannot affect an object after it has been created.', 'You can click a point to convert it to a curve.', 'You can drag the Pen tool inside a frame to convert it to a compound shape.', 'You can click a point to delete it.']",3
12,What is one reason you might want to use the Span Columns feature?,"['You have a bullet list of six items that you want to split into two columns in the middle of a text frame.', 'You are changing the number of columns on a page and want to ensure the text flows properly.', 'You want a line or top shaded borded to span across the top of a multicolumn frame.', 'You have a heading that you want to span across two threaded text frames']",0
13,Which statement about tables is true?,"['Tables are always anchored in a story in a text frame.', 'To edit text in a table, you should first click Table>Convert Table to Text', 'Tables must contain more than one cell.', 'Tables cannot be anchored in a story in a text frame']",-1
14,"Which feature would you use to create the effect shown, where the grouped circles blend with each other but not the object behind them?","['Global Light', 'the Screen blending mode', 'Isolate Blending', 'Knockout Group']",-1
15,"In the image shown, what do the colored frame edges indicate?","['which layer each object is on', 'which master page each object is on', 'which object style is applied to the frame', 'that the red frame is locked']",-1
16,"To resize any frame and its contents and maintain the proportions of both, which key or keys must you press while dragging from a corner handle?","['Ctrl (Windows) or Command (Mac)', 'Alt+Shift (Windows) or Option+Shift (Mac)', 'Ctrl+Shift (Windows) or Command+Shift (Mac)', 'Alt+Spacebar (Windows) or Options+Spacebar (Mac)']",-1
17,"In the image shown, what can you infer about how this document will print?","['The page wil be scaled to fit the paper.', 'All document layers will be visible', 'Some of the InDesign page will be cropped off.', 'The master page P is applied to the document pages.']",-1
18,"After you click a color in the Gradient panel to select it, how can you set its color to a swatch in the Swatches panel?","['Double-click the swatch.', 'Option-click (Mac) or Alt-click (Windows) the swatch.', 'You cannot apply a color swatch to a color stop in the Gradient panel.', 'Drag the color stop over the color in the Swatches panel.']",-1
