,Question,Answers,Right Index
0,How can you open a file selected in Lightroom CC for retouching in Photoshop CC?,"['Double-click the file', 'Choose File > Edit in Photoshop', 'Choose File > Save to Photoshop', 'Press Cmd/Ctrl+E']",1.0
1,How can you undo one or more changes just made to an image?,"['Use the keyboard shortcut Cmd/Ctrl+Z', 'Click a state in the history panel', 'Choose File > Undo', 'Press Cmd/Ctrl+U']",1.0
2,How can you select a specific layer? (find all that apply),"['Click the eye icon in the layers panel', 'Use the Move tool with auto-select enabled', 'Right-click the image and select layer', 'Press Cmd/Ctrl and click the layer']",1.0
3,How can you avoid having transparent edges along the edge of a panoramic photo while retaining the largest image size?,"['Choose the Cylindrical method.', 'Choose the Perspective method.', 'Adjust the Boundary Warp slider.', 'Select Auto Crop.']",3.0
4,How do you crop a document without permanently discarding pixels along the edge?,"['Clear the Delete Cropped Pixels box.', 'Select the Delete Cropped Pixels box.', 'Use the Smart Crop tool.', 'Hold the Alt (Windows) or Option (Mac) key.']",2.0
5,What feature should you use to simulate the in-camera development recipes applied by manufacturers with your own raw files?,"['presets', 'Camera Matching profiles', 'calibration', 'snapshots']",1.0
6,"When working in an RGB document, which option is NOT a method for the Select Color Range command?","['Sampled Colors', 'Skin Tones', 'Key (Blacks)', 'Out of Gamut']",2.0
7,How do you access the Auto Color Correction Options dialog box?,"['Select Image > Auto Tone.', 'Select Image > Auto Color.', 'Alt-click (Option-click) the Auto button in the Properties panel when you have a Levels or Curves adjustment layer targeted in the Layers panel.', 'Hold down the Alt (Option) key and select Image > Auto Color.']",1.0
8,Which options are available when using the Free Transform command on a Smart Object?,"['C,D', 'D,E', 'B,C', 'C,E']",2.0
9,What is considered the minimum DPI for photographic-quality inkjet printing?,"['300', '100', '1,000', '72']",0.0
10,Which scanner type is capable of producing the highest resolution scans?,"['flatbed scanner', 'slide scanner', 'all-in-one unit', 'drum scanner']",0.0
11,Which format does NOT support an alpha channel?,"['PSD', 'PNG', 'TIFF', 'BMP']",1.0
12,What is the best way to save multiple images into a single PDF?,"['Save each PDF separately first and then combine them.', 'Check to see if you have Acrobat Professional installed.', 'Use the PDF Presentation command.', 'Click File > Export > Export Layers to Files.']",2.0
13,What option cannot be adjusted with the Print command directly in the Print window?,"['size of the image', 'position on the page', 'paper quality', 'color management policies']",2.0
14,Which statement best describes the Quick Mask feature?,"['It allows you to use the Pen tool to edit a selection', 'It allows you to use the Brush tool to create or refine a selection', 'It allows you to duplicate a mask quickly.', 'It allows you to convert a vector mask to a layer mask.']",1.0
15,What Photoshop feature was used to convert this image to black and white?,"['Black and White adjustment layer', 'Posterize', 'Threshold', 'Image > Mode > Grayscale']",2.0
16,"In the image shown, why is Sharpen Edges grayed out?","[""The filter doesn't work on a 16-bit image."", 'The filer is not correctly installed.', ""The filter doesn't work on a 32-bit image."", 'The filter requires a selection to be made first.']",3.0
17,"In the image shown, which Camera Raw feature was used to restrict the graduated filter to avoid the statue?","['Adjustment Brush', 'Depth Range Mask', 'Luminance Range Mask', 'Color Range Mask']",0.0
18,What can you use to save a common crop size?,"['tool sets', 'preferences', 'modifier keys', 'tool presets']",3.0
19,Which Camera Raw Transform method is being used in the example shown?,"['Guided', 'Vertical', 'Level', 'Full']",0.0
20,"To reduce the file size of a PDF, what should you do?","['Upsample large images', 'Convert 8-bit images to 16-bit', 'Apply compression to the document', 'all of these answers']",2.0
21,Which image adjustment is not available as an adjustment layer?,"['Levels', 'Shadows/Highlights', 'Curves', 'Hue/Saturation']",1.0
22,"With default Essentials settings, where would you find the Red Eye tool?","['grouped with the Eyedropper tool', 'Image > Mode > Red Eye', 'Edit > Red Eye', 'grouped with the Spot Healing Brush tool']",3.0
