,Question,Answers,Right Index
0,You open a nested sequence in order to trim the length of a clip. You make the total duration of the clips longer. What happens to the duration of the nest in the main sequence?,"['Nothing, the nest duration remains the same in the original sequence.', 'The duration of the nest changes and an overwrite edit pushes the remaining clips to make room.', 'The clips change speed to match the duration of the nest.', 'The duration of the nest changes and a ripple edit pushes the remaining clips to make room.']",0
1,What is a good reason to use a nested sequence?,"['Nesting improves playback performance.', 'Nesting makes it easier to reduce clutter in the Project panel, saving time and potentially project budget.', 'Nesting allows a single effect to be applied to everything that is inside the nest, like a color correction or a video limiter.', 'Nesting helps Adobe Premiere Pro render faster.']",2
2,What happens on your hard drive when you create a subclip?,"['Nothing, since a subclip does not create a new media file on your hard drive.', 'A pointer file is created on your hard drive.', 'A new master clip is created on your hard drive and added to the project.', 'A new media file is created next to the original media.']",0
3,Which statement is false regarding exporting media from Adobe Premiere Pro?,"['Adobe Premiere can directly export files.', 'You can encode sequences into one or more formats with Adobe Media Encoder.', 'While using Adobe Media Encoder, you can keep working on the same sequence in Adobe Premiere Pro.', 'When you click Export, Adobe Premiere Pro will encode the file in the background and let you continue editing.']",3
4,"While working in Premiere Pro, how can you quickly create a new After Effects composition with settings that match the current sequence?","['Select File > Adobe Dynamic Link > Import After Effects Composition.', 'Import a project from After Effects and choose Match project size when importing.', 'Select File > Adobe Dynamic Link > New After Effects Composition.', 'Switch to After Effects and manually set up the project for accuracy.']",2
5,Which is NOT a tag available in the Essential Sound panel?,"['Narration', 'SFX', 'Ambience', 'Music']",0
6,HSL secondary color correction allows you to adjust which of the following? (Select three items.),"['B, C, D', 'A, B, C', 'B, D, E', 'A, C, E']",0
7,What is the only panel in which the Rate Stretch tool can modify a clip?,"['Program Monitor panel', 'Source Monitor panel', 'Timeline panel', 'Media Browser panel']",2
8,What can you do to make the shape layer automatically adjust size as the text layer changes?,"['Select the Mask with Shape option.', 'Select Responsive Design and Pin To the text layer.', 'Select Responsive Design and Pin To the Video Frame.', 'Use the Align and Transform controls.']",0
9,In which panel do you assemble media in order to create sequence?,"['Timeline panel', 'Media Browser panel', 'Capture panel', 'Source Monitor panel']",3
10,Which panel allows you to modify video effects after they have been applied to a clip?,"['Effects panel', 'Timeline panel', 'Source Monitor panel', 'Effect Controls panel']",0
11,Suppose your clips link to media files stored in multiple locations. You want to have the media files in a single location in their current format. Which option should you choose in the Project Manager?,"['Exclude Unused Clips', 'Consolidate and Transcode', 'Collect Files and Copy to New Location', 'Create New Trimmed Project']",2
12,What is the default video transition in Adobe Premiere Pro?,"['film dissolve', 'additive dissolve', 'cross dissolve', 'impact dissolve']",2
13,Which term describes the algorithm that is used to encode and decode a video file?,"['container', 'format', 'compressor', 'codec']",3
14,You want to save a short portion of a longer clip for easy access. How can you do this?,"['in the Media Browser, mark in and out points on a clip, and then import.', 'Mark in and out points on the clip in the Program Monitor and select choose Clip > Make Subclip.', 'Mark in and out points on a clip in the Timeline panel and then drag it back into a bin.', 'Mark in and out points on the clip in the Source Monitor and select Clip > Make Subclip.']",3
15,What adjustment can help return edge detail to video footage?,"['Intensity', 'Contrast', 'Sharpen', 'Clarity']",2
16,Where can you adjust the duration of a transition?,"['Effects panel', 'Project panel', 'Effect Controls panel', 'Program Monitor panel']",2
17,You are working with a new project and have been editing for two hours. What is the number of backup projects you would expect to find?,"['2', '12', '20', '24']",2
18,Which panel would you use to browse and import assets for maximum compatibility with Premiere Pro?,"['Library', 'Effects', 'Project', 'Media Browser']",3
19,"A transition is set to center aligned. What would be the result of dragging with the tool selected, to the right?","['The transition would slide to the right.', 'You would extend only the right side of the transition.', 'You would perform a ripple edit and extend the duration of the first clip.', 'The transition would grow on both sides.']",0
20,Which application does NOT support Dynamic Link?,"['Adobe Photoshop', 'Adobe Premiere Pro', 'Adobe Audition', 'Adobe After Effects']",2
21,Which preference pane includes the Video Transition Default Duration and Audio Transition Default Duration?,"['Media', 'Playback', 'General', 'Timeline']",3
22,"If an effect has a star next to its icon, what type of effect is it?","['audio', 'template', 'transition', 'preset']",3
23,How was this clip manipulated using a Curves adjustment?,"['Hue vs. Luma', 'Saturation vs. Saturation', 'Hue vs. Saturation', 'Luma vs. Saturation']",0
24,Where is transparency data stored when compositing media?,"['Essential Graphics panel', 'Effects panel', 'alpha channel', 'assembly edit']",1
25,"When part of your footage is transparent, where is the transparency information stored in the file?","['source monitor', 'alpha channel', 'opacity effect', 'alpha effect']",1
26,Which option allows you to reuse previously created render files for an export?,"['Use Previews', 'Use Frame Blending', 'Use Maximum Render Quality', 'Match Sequence Settings']",0
