,Question,Answers,Right Index
0,What type of light never casts a shadow in a 3D scene?,"['Parallel', 'Ambient', 'Point', 'Spot']",-1
1,Where do you change the shutter angle for the motion blur in a composition?,"['on the Basic tab of the Composition Settings dialog box', 'on the Advanced tab of the Composition Settings dialog box', 'on the 3D Renderer tab of the Composition Settings dialog box', 'in the File > Project Settings dialog box']",-1
2,What is a null object?,"['a special layer used to hold expressions', 'an invisible layer that has all the properties of a visible layer so it can be parented to any layer in the composition', 'a solid layer with a black background that can be parented to any layer in the composition', 'a visible layer that can be parented to any layer in the composition']",-1
3,What adjustment in the Lumetri Color effect can help restore edge detail to footage?,"['Contrast', 'Clarity', 'Sharpen', 'Intensity']",-1
4,Where can you control the settings for footage created from an After Effects composition?,"['Render Queue panel', 'Save As dialog box', 'Export Queue panel', 'Progress panel']",-1
5,Which blur effect supports the use of a depth matte to define the focal range?,"['Camera Lens Blur', 'Bilateral Blur', 'Smart BlurS', 'Channel Blur']",-1
6,How can you create a direct relationship between two layer properties?,"['Use the pick whip to enable Parenting.', 'Use grouping.', 'Use Value Linking.', 'Use the pick whip to enable Connecting.']",-1
7,"Which technique is useful for creating slow-motion, fast-motion, freeze frame, or other retiming results for a layer?","['Time Remapping', 'Time Displacement', 'Posterize Time', 'CC Wide Time']",-1
8,An image was created on a transparent background in Photoshop using different dimensions to this After Effects composition. Which option was used when importing the PSD file shown below to place the image at its original scale and position?,"['Click Import As > Composition.', 'Click Import As > Footage.', 'Click Import As > Composition â€“ Retain Layer Size.', 'Set the PSD sequence option.']",-1
9,How can you render a file in the background and keep working in After Effects?,"['Click File > Export > Add to Adobe Media Encoder Queue.', 'Click File > Watch Folders.', 'Click File > Export > Background Render.', 'Click File > Export > Add to Render Queue.']",-1
10,What properties are added to a 3D layer? (Select three items.),"['Z Rotation', 'Anchor Point', 'Material Options', 'Position', 'Geometry Options']",-1
11,You want to include controls from an After Effects composition in the Essential Graphics panel. What is one way to do this?,"['Command+click (Mac) or Ctrl+click (Windows) a property in the Timeline to add it to the Essential Graphics panel.', 'Select Add Formatting.', 'Drag a property from the Timeline into the Essential Graphics panel.', 'Double-click a property in the Timeline to add it to the Essential Graphics panel.']",-1
12,You have applied the Auto Levels effect but notice flickering in the results. How can you reduce this?,"['Adjust the Black Clip property.', 'Increase the Blend with Original property.', 'Increase the Temporal Smoothing property.', 'Adjust the White Clip property.']",-1
13,Which type of light is used in this scene?,"['Ambient', 'Spot', 'Point', 'Parallel']",-1
14,"Which effect recovers alpha-channel detail from a scene keyed by a typical keying effect, including recovering detail lost due to compression artifacts?","['Keying > Advanced Spill Suppressor', 'Keying > Key Cleaner', 'Keying > Extract', 'Keying > Keylight (1.2)']",-1
15,"If you want to apply an effect to multiple layers and adjust all layers at once, which method should you use?","['Use the layer pick whip to link properties.', 'Parent the layer controls.', 'Use an adjustment layer.', 'Set one layer effect and then copy and paste its results to the other layers.']",-1
16,"You want to scale all elements in a composition, including the composition itself. How can you do this?","['Click File > Scripts > Double-Up.jsx.', 'Link all layers and then change the composition settings.', 'Click File > Scripts > Scale Composition.jsx.', 'In the Composition Settings dialog box, scale the composition dimensions and the layers will scale to match.']",-1
17,Holding the Shift key when rotating a 3D layer constrains the rotation to how many degrees?,"['20', '30', '45', '15']",-1
18,How can you choose which frame of a composition to show as a thumbnail image for the composition in the Project panel?,"['Select the desired frame in the Composition Settings dialog box.', 'Move the playhead to the desired frame and click Composition > Set Poster Time.', 'You cannot change the thumbnail image.You cannot change the thumbnail image.', 'From the Render Queue, go to Render Settings to set the thumbnail image.']",-1
19,"When you want to add properties to the Essential Graphics panel, how can you easily see only the supported properties?","['Type â€œPPâ€\u200c twice with the Timeline panel active.', 'Click the Solo Supported Properties button in the Essential Graphics panel.', 'Switch to the Essential Graphics workspace.', 'All properties are supported by the Essential Graphics panel.']",-1
20,You want to take an existing layer and make it into two separate layers. How can you do this so the separation occurs at the playhead?,"['Click Layer > Split Layer.', 'Click Edit > Duplicate.', 'Click Edit > Extract Work Area.', 'Click Edit > Split Layer.']",-1
21,How can you create a single composition from multiple footage items?,"['Select the items and click File > New Project.', 'Select the items and click Composition > New Composition from Selection.', 'Drag the selected footage items to the Create a New Composition button at the bottom of the Project panel.', 'Select the items and click Composition > New Composition.']",-1
22,You attach a video monitor to view your color correction. Where can you configure the monitorâ€™s preferences?,"['Preferences > Output', 'Preferences > Video Preview', 'Preferences > Video Hardware', 'Preferences > Previews']",-1
23,A file is in the Render Queue but cannot be rendered. You see that it is labeled Needs Output. What should you do?,"['Save the project.', 'Set an output file name from the Render To menu.', 'Set an output file name and location from the Output To menu.', 'Adjust the composition settings.']",-1
