,Question,Answers,Right Index
0,"To add features, components, and permissions to your Android app, which file needs to be edited?","['AndroidManifest.xml', 'Components.xml', 'AppManifest.xml', 'ComponentManifest.xml']",0
1,Which XML attribute should be used to make an Image View accessible?,"['android:talkBack', 'android:labelFor', 'android:hint', 'android:contentDescription']",3
2,"You launch your app, and when you navigate to a new screen it crashes, Which action will NOT help you diagnose the issue?","['Set breakpoints and then step through the code line by line', 'Use the profiler tools in Android Studio to detect anomalies CPU, and network usage.', 'Add a Thread.sleep() call before you start the new activity.', 'inspect the logs in Logcat.']",2
3,Why might push notifications stop working?,"['all of these answers', 'The device token is not being sent to push provider correctly.', 'Google Play Services is not installed on the deivce/emulator.', 'Battery optimization is turned on on the device.']",0
4,What is the correct set of component classes needed to implement a RecyclerView of items that displays a list of widgets vertically?,[''],-1
5,The Android system kills process when it needs to free up memory. The likelihood of the system killing a given process depends on the state of the process and the activity at the time. With combination of process and activity state is most likely to be killed?,[''],-1
6,You have created a NextActivity class that relies on a string containing some data that pass inside the intent Which code snippet allows you to launch your activity?,[''],-1
7,You want to include about and setting modules in your project. Which files accurately reflects their inclusion?,[''],0
8,What is the benifit of using @VisibleForTesting annotation?,"['Process:In the background;Activity:Is stopped', 'Process:In the background;Activity:Is paused', 'Process:In the foreground;Activity:Is started', 'Process:In the foreground;Activity:Is paused']",0
9,"How would you specify in your build.gradle file that your app required at least API level 21 to run, but that it can be tested on API level 28?",[''],-1
10,When will an activity's onActivityResult()be called?,[''],-1
11,"You need to remove an Event based on it;s id from your API, Which code snippet defines that request in Retrofit?",[''],0
12,When would you use a product flavour in your build setup?,[''],-1
13,"Given the fragment below, how would you get access to a TextView with an ID of text_home contained in the layout file of a Fragment class?","[""in build.gradle:include ':app',':about' ':settings'"", ""in settings.gradle:include ':app',':about' ':settings'"", ""in settings.gradle:include ':about',':settings'"", ""in gradle.properties:include ':app',':about' ':settings'""]",1
14,Why do you use the AndroidJUnitRunner when running UI tests?,"['to denote that a class, methos, or field has its visibility relaxed to make code testable', 'to denote that a class, method, or field is visible only in the test code', 'to denote that a class, method, or field has its visibility increased to make code less testable', 'to throw a run-time error if a class, methos, or field with this annotation is accessed improperly']",0
15,What allows you to properly restore a user's state when an activity is restarted?,[''],-1
16,Given the definition below. how would you get access a TextView with an ID of text_home contained in thr layout file of a Fragment class?,[''],-1
17,"IF the main thread is blocked for too long, the system displays the _ dialog?",[''],-1
18,How would you retrieve the value of a user's email from SharedPreferences while ensuring that the returned value is not null?,[''],0
19,Why is it problematic to define sizes using pixels on Android?,"['when calling finish()in the parent activity', 'when placing an app into the background by sitching to another app', 'When onStop() is called in the target activity', 'when calling finish() in the target activity']",3
20,You need to get a list of devices that are attached to your computer with USB debugging enable. Which command would execute using the Android Debug Bridge?,"['@DELETE(""events)\n      fun deleteEvent(@Path(""id"") id: Long): Call', '@DELETE(""events/{id}"")\n      fun deleteEvent(@Path(""id"") id: Long): Call', '@REMOVE(""events/{id}"")\n      fun deleteEvent(@Path(""id"") id: Long): Call', '@DELETE(""events/{id}"")\n      fun deleteEvent(@Path(""id"") id: Long): Call']",1
21,Which drawable definition allows you to achieve the shape below?,"[""when you need to have the app's strings present in multiple lanuages"", 'when you have to provide different versions of your app based on the physical device size', 'when you want to provide different versions of your app based on the device screen density', 'when you want to provide different version of your app with custom configuration and resources']",3
22,"To persist a small collection of key-value data, what should you use?","['root.getById(R.id.text_home)', 'findViewByID(R.id.text_home)', 'root.findViewById(R.id.text_home)', 'root.find(R.id.text_home)']",2
23,You need to retrieve a list of photos from an API. Which code snippet defines an HTML GET request in Retrofit?,"['The test runner facilitates loading your test package and the app under test onto a device or emulator, runs the test, and reports the results.', 'The test runner creating screenshots of each screen that displayed while tests are executed.', 'The test runner facilitates parallelization of test classes by providing for each test class.', 'The test runner facilitates interacting with visible elements on a device, regardless of the activity or fragment that has focus.']",0
24,"Given the test class below, which code snippet would be a correct assertion?","['the onSaveInstance()method', 'all of these answers', 'persistent storage', 'ViewModel objects']",1
25,What tag should you use to add a reusable view component to a layout file?,"['root.find(R.id.text_home)', 'findViewById(R.id.text_home)', 'root.getById(R.id.text_home)', 'root.findViewById(R.id.text_home)']",3
26,You want to provide a different drawable for devices that are in landscape mode and whose language is set to French. which directory is named correctly?,"['Thread Not Responding', 'Application Paused', 'Application Not Responding', 'Application Blocked']",2
27,Why might you need to include the following permission to your app?,"['getPreferances(this).getString(Email,"""")', 'getDefaultSharedPrefarances(this).getString(EMAIL,null)', 'getDefaultSharedPreferances(this).getString(EMAIL,"""")', 'getPreferances(this).getString(EMAIL,null)']",2
28,Which image best corresponds to the following LinearLayout?,"['Although screen pixel density varies, this does not impact the use of pixels to define sizes.', 'Large devices always have more pixels, so your UI elements will be e=affected if you define them with pixels.', 'The same number of pixels may correspond to different physical sizes, affecting the appearance of your UI elements.', 'Different devices have different understanding of what a pixel is , affecting the appearance of your UI elements']",2
29,You want to open the default Dialer app on a device. What is wrong with this code?,"['list devices', 'adb devices', 'list avd', 'dir devices']",1
30,When should you store files in the /assets directory?,[''],-1
31,"You want to allow users to take pictures in your app. Which is not an advantage of creating an appropriate intent, instead of requesting the camera permission directly?",[''],-1
32,When would you use the ActivityCompat.shouldShowRequestPermissionRationale() function?,[''],0
33,You would like to enable analytics tracking only in release builds. How can you create a new field in the generated BuildConfig class to store that value?,[''],-1
34,"To optimize your APK size, what image codec should you use?","['external file storage', 'SharedPereferences', 'SQLite', 'internal file storage']",1
