,Question,Answers,Right Index
0,What is the purpose of the ViewChild decorator in this component class?,"[""It provides access from within the component class to the ElementRef object for the <p> tag that has the bio template reference variable in the component's template view."", 'It indicates that the <p> tag be rendered as a child of the parent view that uses this component.', 'It makes the <p> tag in the template support content projection.', 'It makes the <p> tag visible in the final render. If the #bio was used in the template and the @ViewChild was not used in the class, then Angular would automatically hide the <p> tag that has #bio on it.']",0
1,What method is used to wire up a FormControl to a native DOM input element in reactive forms?,"['Add the string name given to the FormControl to an attribute named controls on the  element to indicate what fields it should include.', 'Use the square bracket binding syntax around the value attribute on the DOM element and set that equal to an instance of the FormControl.', 'Use the formControlName directive and set the value equal to the string name given to the FormControl.', 'Use the string name given to the FormControl as the value for the DOM element id attribute.']",2
2,What is the difference between the paramMap and the queryParamMap on the ActivatedRoute class?,"[""The paramMap is an object literal of the parameters in a route's URL path. The queryParamMap is an Observable of those same parameters."", ""The paramMap is an Observable that contains the parameter values that are part of a route's URL path. The queryParamMap is a method that takes in an array of keys and is used to find specific parameters in the paramMap."", 'paramMap is the legacy name from Angular 3. The new name is queryParamMap.', ""Both are Observables containing values from the requested route's URL string. The paramMap contains the parameter values that are in the URL path and the queryParamMap contains the URL query parameters.""]",3
3,"Based on the following usage of the async pipe, and assuming the users class field is an Observable, how many subscriptions to the users Observable are being made?","['None. The async pipe does not subscribe automatically.', 'None. The template syntax is not correct.', 'Three. There is one for each async pipe.', 'One. The async pipe caches Observables by type internally.']",2
4,How can you use the HttpClient to send a POST request to an endpoint from within an addOrder function in this OrderService?,"['this.httpClient.url(this.orderUrl).post(order);', 'this.httpClient.send(this.orderUrl, order);', 'this.httpClient.post(this.orderUrl, order);', 'this.httpClient.post(this.orderUrl, order).subscribe();']",3
5,What is the RouterModule.forRoot method used for?,"['Registering any providers that you intend to use in routed components.', 'Registering route definitions at the root application level.', 'Indicating that Angular should cheer on your routes to be successful.', 'Declaring that you intend to use routing only at the root level.']",1
6,Which DOM elements will this component metadata selector match on?,"['Any element with the attribute app-user-card, such as <div app-user-card></div>.', 'The first instance of <app-user-card></app-user-card>.', 'All instances of <app-user-card></app-user-card>.', 'All instances of <user-card></user-card>.']",2
7,What is the correct template syntax for using the built-in ngFor structural directive to render out a list of productNames?,[''],-1
8,What are the two component decorator metadata properties used to set up CSS styles for a component?,['productName }}'],-1
9,"With the following component class, what template syntax would you use in the template to display the value of the title class field?",[''],-1
10,What is the purpose of the valueChanges method on a FormControl?,['productName }}'],-1
11,What directive is used to link an <a> tag to routing?,[''],0
12,What is the Output decorator used for in this component class?,['productName }}'],-1
13,What is the difference between these two markup examples for conditionally handling display?,[''],-1
14,How can you disable the submit button when the form has errors in this template-driven forms example?,['productName }}'],-1
15,You want to see what files would be generated by creating a new contact-card component. Which command would you use?,"['viewEncapsulation and viewEncapsulationFiles.', 'There is only one and it is the property named css.', 'css and cssUrl.', 'styles and styleUrls.']",3
16,"Based on the following component, what template syntax would you use to bind the TitleCardComponent's titleText field to the h1 element title property?","[""{{ 'title' }}"", '{{ title }}', '[title]', 'A class field cannot be displayed in a template via the template syntax.']",1
17,What are Angular lifecycle hooks?,"['It is used to configure what values are allowed for the control.', 'It is used to change the value of a control to a new value. You would call that method and pass in the new value for the form field. It even supports passing in an array of values that can be set over time.', 'It returns a Boolean based on if the value of the control is different from the value with which it was initialized.', 'It is an observable that emits every time the value of the control changes, so you can react to new values and make logic decisions at that time.']",3
18,Pick the best description for this template syntax code:,"['routeTo', 'routerLink', 'routePath', 'appLink']",1
19,How would you configure a route definition for a UserDetailComponent that supports the URL path user/23 (where 23 represents the id of the requested user)?,"['It makes the itemTotalChanged class field public.', 'It provides a way to bind values to the itemTotalChanged class field, like so: <app-shopping-cart [itemTotalChanged]=""newTotal""></app-shopping-cart>.', 'It provides a way to bind events to the itemTotalChanged class field, like so: <app-shopping-cart (itemTotalChanged)=""logNewTotal($event)""></app-shopping-cart>.', 'It is simply a way to put a comment in front of a class field for documentation.']",2
20,What are the HostListener decorators and the HostBinding decorator doing in this directive?,"['The ngIf is shorthand for the other example. When Angular processes that directive, it writes a div element to the DOM with the hidden property.', 'They are fundamentally the same.', 'The ngIf directive does not render the div in the DOM if the expression is false. The hidden property usage hides the div content in the browser viewport, but the div is still in the DOM.', 'The ngIf is valid, but the use of the hidden property is wrong and will throw an error.']",2
21,What Angular template syntax can you use on this template-driven form field to access the field value and check for validation within the template markup?,[''],-1
22,What is the value type that will be stored in the headerText template reference variable in this markup?,[''],0
23,"What is the difference, if any, of the resulting code logic based on these two provider configurations?",[''],-1
24,What is the purpose of the data property (seen in the example below) in a route configuration?,[''],-1
25,How does the built-in ngIf structural directive change the rendered DOM based on this template syntax?,"['ng generate component contact-card --dry-run', 'ng generate component contact-card --no-files', 'ng generate component component --dry', 'ng generate component --exclude']",0
26,What does this code accomplish?,"['<h1 data-title=""titleText"">{{ titleText }}</h1>', '<h1 title=""titleText"">{{ titleText }}</h1>', '<h1 [title]=""titleText"">{{ titleText }}</h1>', '<h1 titleText>{{ titleText }}</h1>']",2
