,Question,Answers,Right Index
0,How can you edit a feature?,"['Select the feature, press Delete, and then create a new feature.', 'Right-click the feature and select Edit Feature.', 'Keep clicking Undo until the feature is gone.', 'Find the feature in the browser, select Remove, and then create a new feature.']",1
1,Which tool creates a plane normal to a sketch path or edge?,"['Plane Through Two Edges', 'Plane Along Path', 'Plane at Angle', 'Plane Through Three Points']",1
2,"Which tool measures the precise distance between two points, and creates dimensions that are parallel to the locations of objects?","['Aligned Dimension', 'Linear Dimension', 'Angular Dimension', 'Ordinate Dimension']",0
3,How many holes were used in the making of this object?,"['1', '2', '3', '4', '5', '6', '7', '8']",0
4,"In simulation, which constraint prevents movement in a specific direction?","['frictionless', 'prescribed displacement', 'pin', 'fixed']",3
5,"In the CAM workspace, which strategy removes a part's interior cavity?","['Slot', '2D Pocket', 'Bore', '2D Contour']",-1
6,What does the Zebra Analysis tool do?,"['It applies a metal render.', 'It fixes bodies.', ""It checks a body's continuity."", 'It splits bodies apart.']",-1
7,Which command creates a plane at the midpoint between two faces or work planes?,"['Midplane', 'Plane Tangent to Face at Point', 'Offset Plane', 'Plane at Angle']",-1
8,Which hole type automatically enters a diameter value based on the type of fastener it will accomodate?,"['Clearance', 'Simple', 'Drilled', 'Through']",0
9,"Which workspace creates components made from thin, premade material formed into specific shapes?","['Mesh', 'Simulation', 'Animation', 'Sheet Metal']",-1
10,What is required to invite other people into your project folder?,"['a name', 'an email address', 'an IP address', 'a phone number']",1
11,Which tool connects two joints in a way that the motion of one joint can drive the motion of another joint?,"['Drive Joints', 'As-built Joint', 'Motion Study', 'Motion Link']",-1
12,Which joint type allows components to translate along two axes and rotate around a single axis?,"['slider', 'revolute', 'planar', 'pin-slot']",2
13,Which view shows a drawing part at an enlarged scale?,"['detail view', 'section view', 'base view', 'projected view']",0
14,Which file type is not a drawing output?,"['DWG file', 'CSV file', 'STEP file', 'PDF file']",1
15,What command do you use to understand the relationship between multiple joints?,"['Lock', 'Animate Joint', 'Animate Model', 'Motion Link']",-1
16,What translator converts the screen toolpath into language the CNC machine understands?,"['a post processor', 'G-code', 'NC-code', 'a code processor']",0
17,Which pattern tool copies objects around a selected axis?,"['Rectangular Pattern', 'Pattern on Path', 'Mirror Plane', 'Circular Pattern']",-1
18,What is the initial view placed in a drawing called?,"['base view', 'detail view', 'section view', 'main view']",0
19,Which command performs Boolean operations between solid bodies?,"['Draft', 'Press', 'Pull', 'Combine', 'Scale']",3
20,"In the CAM workspace, which strategy removes a part's interior cavity?","['2D Contour', '2D Pocket', 'Slot', 'Bore']",-1
21,What does the Zebra Analysis tool do?,"[""It checks a body's continuity."", 'It splits bodies apart.', 'It fixes bodies.', 'It applies a metal render.']",0
22,You want to set up studies to test your design and see how it performs under various loads and conditions. Which workspace do you use?,"['Animation', 'Mesh', 'Simulation', 'Render']",2
23,Which type of fillet applies two or more radius values to a selected edge?,"['G2', 'Variable Radius', 'Chord Length', 'Smooth']",1
24,Which tool analyzes a T-spline body and corrects it?,"['Repair Body', 'Convert', 'Enable Better Performance', 'Make Uniform']",-1
25,Which pattern tool creates copies of objects in one or two directions?,"['Pattern on Path', 'Mirror Plane', 'Rectangular Pattern', 'Circular Pattern']",-1
26,"Which command shows the movement of the joint only, and does not take into account other grounded joints or any external effects on the joint?","['Suppress', 'Animate Model', 'Drive Joints', 'Animate Joint']",-1
27,How many sketches are required to create this object?,"['Two', 'Three', 'None', 'One']",0
28,"Which option changes the onscreen appearance of a freeform body to a box, control point, or smooth display?","['Uniform', 'Repair Body', 'Display Mode', 'Enable Better Performance']",2
29,Which command splits a body using surfaces generated from its outline curves?,"['Split Body', 'Split Component', 'Silhouette Split', 'Split Face']",0
30,What controls the position and motion between components?,"['Assembly constraints', 'Motion Link', 'Motion Control', 'Joints']",3
31,Which command merges surfaces to make a single surface body?,"['Combine', 'Unite', 'Join', 'Stitch']",2
32,Which command uses an open sketch curve to create a thin feature?,"['Thread', 'Rib', 'Loft', 'sweep']",1
33,Which joint type allows components to rotate and translate along the same axis?,"['Rigid', 'Cylindrical', 'Revolute', 'Ball']",-1
34,Which tool hollows out a solid model and removes one or more faces?,"['Thicken', 'Open', 'Offset', 'Shell']",3
35,Which analysis tool generates a cutaway view of the model at a single plane?,"['Segment', 'Section', 'Detail', 'Projection']",1
36,Which is not an appearance type available in the Render workspace?,"['Bodies', 'Plastic', 'Wood', 'Metal']",0
