,Question,Answers,Right Index
0,What is printed from this code?,"['False', '0', '1', 'This code has an error.']",2
1,Which of the following is a reason why using this line is considered a bad practice? (Alternative: Why is using this line considered a bad practice?),"['The compiled code is always bigger because of all of the imported symbols.', 'If the code uses a function defined in two different libraries with the same prototype but possibly with different implementations, there will be a compilation error due to ambiguity.', 'It automatically includes all header files in the standard library (cstdint, cstdlib, cstdio, iostream, etc).', 'It causes the compiler to enforce the exclusive inclusion of header files belonging to the standard library, generating compilation error when a different header file is included.']",1
2,What is the smallest size a variable of the type child_t may occupy in memory?,"['7 bits.', '25 bytes.', '1 bit.', '1 byte.']",0
3,Which of the following shows the contents of vector v1 and v2 after running this code?,"['Error', 'v1:{1,2,3,4}; v2:{5};', 'v1:{1,2,3,4,5}; v2:{1,2,3,4,5};', 'v1:{1,2,3,4}; v2:{1,2,3,5};']",3
4,Which of the following is a true statement about the difference between pointers and iterators?,"['While pointers are variable that hold memory address, iterators are generic functions used to traverse containers. These function allows the programmer to implement read and write code as the container is traversed.', 'Incrementing an iterator always means access the next element in the container(if any), no matter the container. Incrementing the pointer means pointing to the next element in memory, not always the next element.', 'Pointers are variables that hold memory address where as iterator are unsigned integers that refers to offsets in arrays.', 'All iterator are implemented with pointers so all iterators are pointers but not all pointers are iterators.']",1
5,What's the storage occupied by u1?,"['4 bytes', '7 bytes', '8 bytes', '2 bytes']",0
6,Which of the following operators is overloadable?,"['?:', 'new', '::', '.']",1
7,Which of the following shows the contents of vector pointed by v1 and v2 after running this code?,"['*v1:{1,2,3,4}; *v2:{5};', '*v1:{1,2,3,4,5}; *v2:{1,2,3,4,5};', 'Error', '*v1:{1,2,3,4}; *v2:{1,2,3,5};']",1
8,Which of the following is not a difference between a class and a struct?,"['Because structs are part of the C programming language, there are some complexity between C and C++ structs. This is not the case with classes.', 'Classes may have member functions; structs are private.', 'The default access specifier for members of struct is public, whereas for member of class, it is private.', 'Template type parameters can be declared with classes, but not with the struct keyword.']",2
9,"Suppose you need to keep a data struct with permission to access some resource based on the days of the week, but you can't use a bool variable for each day. You need to use one bit per day of the week. Which of the following is a correct implementation of a structure with bit fields for this application?",['A'],0
10,What is an lvalue?,['B'],-1
11,What does auto type specifier do in this line of code (since C++11)?,['C'],-1
12,A class template is a _?,['D'],-1
13,What is the ternary operator equivalent to this code snippet?,"[""It's a constant expression, meaning an expression composed of constants and operations."", ""It's an expression that represents an object with an address."", ""It's an expression suitable for the left-hand side operand in a binary operation."", ""It's a location value, meaning a memory address suitable for assigning to a pointer or reference.""]",1
14,What is the output of this code?,"['It specifies that the type of x will be deduced from the initializer - in this case, double.', 'It specifies that the type of x is automatic meaning that if can be assigned different types of data throughout the program.', 'It specifies that x is a variable with automatic storage duration.', 'It specifies that more memory will be allocated for x in case it needs more space, avoiding loss of data due to overflow.']",0
15,"What is the meaning of the two parts specified between parentheses in a range-based for loop, separated by a colon?","['class written with the generic programming paradigm, specifying behavior in terms of type parameter rather than specific type.', 'blank superclass intended for inheritance and polymorphism.', 'lass that only consists of member variable, with no constructor, destructor nor member functions.', 'skeleton source code for a class where the programmer has to fill in specific parts to define the data types and algorithms used.']",0
16,What is the output of this piece of code?,"['y=a?b:x;', 'y=if(x?a:b);', 'y=(x&a)?a:(x&b)?b:0;', 'y=x?a:b;']",3
