,Question,Answers,Right Index
0,"According to the shared responsibility model, which cloud computing model places the most responsibility on the cloud service provider (CSP)?","['Hybrid Cloud', 'Software as a Service (SaaS)', 'Platform as a Service (PaaS)', 'Infrastructure as a Service (IaaS)']",2.0
1,Which option removes the risk of multitenancy in cloud computing?,"['PaaS', 'public cloud', 'private cloud', 'IaaS']",2.0
2,Your organization recently implemented a unified messaging solution and VoIP phones on every desktop. You are responsible for researching the vulnerabilities of the VoIP system. Which type of attack are VoIP phones most vulnerable to experiencing?,"['denial-of-service', 'brute force attacks', 'malware', 'buffer overflow']",0.0
3,Which security control cannot produce an active response to a security event?,"['cloud access security broker (CASB)', 'intrusion prevention system (IPS)', 'intrusion detection system (IDS)', 'next generation firewall']",2.0
4,Packet sniffer is also called _.,"['SIEM', 'UTM', 'protocol analyzer', 'data sink']",2.0
5,Which option tests code while it is in operation?,"['code review', 'code analysis', 'static analysis', 'dynamic analysis']",3.0
6,Which option describes testing that individual software developers can conduct on their own code?,"['gray box testing', 'integration testing', 'white box testing', 'unit testing']",3.0
7,"In black box penetration testing, what information is provided to the tester about the target environment?","['none', 'limited details of server and network infrastructure', 'all information', 'limited details of server infrastructure']",0.0
8,Which security control can best protect against shadow IT by identifying and preventing use of unsanctioned cloud apps and services?,"['intrusion prevention system (IPS)', 'next generation firewall', 'cloud access security broker (CASB)', 'intrusion detection system (IDS)']",2.0
9,Which option describes the best defense against collusion?,"['monitoring of normal employee system and data access patterns', 'applying system and application updates regularly', 'fault tolerant infrastructure and data redundancy', 'separation of duties and job rotation']",3.0
10,"During a penetration test, you find a file containing hashed passwords for the system you are attempting to breach. Which type of attack is most likely to succeed in accessing the hashed passwords in a reasonable amount of time?","['rainbow table attack', 'pass-the-hash attack', 'password spray attack', 'brute force attack']",0.0
11,Which area is DMZ?,"['4', '1', '2', '3']",2.0
12,You configure an encrypted USB drive for a user who needs to deliver a sensitive file at an in-person meeting. What type of encryption is typically used to encrypt the file?,"['file hash', 'asymmetric encryption', 'digital signature', 'symmetric encryption']",3.0
13,What is the difference between DRP and BCP,"['DRP works to keep a business up and running despite a disaster. BCP works to restore the original business capabilities.', 'BCP works to keep a business up and running despite a disaster. DRP works to restore the original business capabilities.', 'BCP is part of DRP.', 'DRP is part of BCP.']",0.0
14,Which aspect of cybersecurity do Distributed Denial of Service (DDoS) attacks affect the most?,"['non-repudiation', 'integrity', 'availability', 'confidentiality']",2.0
15,You need to recommend a solution to automatically assess your cloud-hosted VMs against CIS benchmarks to identify deviations from security best practices. What type of solution should you recommend?,"['Cloud Security Posture Management (CSPM)', 'Intrusion Detection and Prevention System (IDPS)', 'Cloud Workload Protection Platforms (CWPP)', 'Cloud Access Security Brokers (CASBs)']",0.0
16,_____ validates the integrity of data files.,"['Compression', 'Hashing', 'Symmetric encryption', 'Stenography']",1.0
17,Which is an example of privacy regulation at the state government level in the U.S.?,"['CCPA', 'GDPR', 'NIST Privacy Framework', 'OSPF']",0.0
18,"what is the term for the policies and technologies implemented to protect, limit, monitor, audit, and govern identities with access to sensitive data and resources?","['identity and access management (IAM)', 'privileged account management (PAM)', 'authentication and authorization', 'least privilege']",0.0
19,You have configured audit settings in your organization's cloud services in the event of a security incident. What type of security control is an audit trail?,"['preventive control', 'detective control', 'directive control', 'corrective control']",3.0
20,What is the name for a short-term interruption in electrical power supply?,"['grayout', 'blackout', 'brownout', 'whiteout']",1.0
21,"Your security team recommends adding a layer of defense against emerging persistent threats and zero-day exploits for all endpoints on your network. The solution should offer protection from external threats for network-connected devices, regardless of operating system. Which solution is best suited to meet this requirement?","['Security Information Event Management (SIEM)', 'Extended Detection and Response (XDR)', 'next generation firewall (NGFW)', 'Cloud App Security Broker (CASB)']",2.0
22,Which is not a threat modeling methodology?,"['TRIKE', 'TOGAF', 'STRIDE', 'MITRE ATT&CK']",1.0
23,You organization is conducting a pilot deployment of a new e-commerce application being considered for purchase. You need to recommend a strategy to evaluate the security of the new software. Your organization does not have access to the application's source code.,"['dynamic application security testing', 'unit testing', 'white box testing', 'static application security testing']",0.0
24,Which strategy should you choose?,"['Mobile Device Management (MDM)', 'Data Loss Prevention (DLP)', 'Intrusion Detection and Prevention System (IDPS)', 'cloud access security broker (CASB)']",0.0
25,"You need to disable the camera on corporate devices to prevent screen capture and recording of sensitive documents, meetings, and conversations. Which solution would be be suited to the task?","['200', '400', '100', '300']",0.0
26,How many keys would be necessary to accomodate 100 users in an asymmetric cryptography system?,"['Federal Information Security Managment Act (FISMA)', 'Payment Card Industry Data Security Standard (PCI-DSS)', 'General Data Protection Regulation (GDPR)', 'International Organization for Standardization and Internation Electronical Commission (ISO/IEC 27018)']",1.0
27,Two competing online retailers process credit card transactions for customers in countries on every continent. One organization is based in the United States. The other is based in the Netherlands. With which regulation must both countries comply while ensuring the security of these transactions?,"['Common event format', 'common weakness enumeration', 'common vulnerabilties and exposures', 'common vulnerability scoring system']",2.0
28,What provides a common language for describing security incidents in a structures and repeatable manner?,"['log server', 'network scanner', 'firewall', 'protocol analyzer']",3.0
29,Which type of application can intercept sensative information such as passwoprds on a network segment?,"['aggregation', 'inference', 'SQL injection', 'cross-origin resouce sharing']",1.0
30,An attacker has discovered that they can deduce a sensitive piece of confidential information by analyzing multiple pieces of less sensitive public data. What type of security issue exists?,"['Zero Trust Security', 'Role-Based Access Control (RBAC)', 'authorization', 'Single Sign-On']",2.0
31,What act grants an authenticated party permission to perform an action or access a resource?,"['processor', 'object', 'subject', 'controller']",2.0
32,"According to GDPR, a data _ is the person about whom data is being collected.","['use least privilege access', 'verify explicitly', 'trust but verify', 'assume breach']",2.0
33,Which is not a principle of zero trust security?,"['ARP spoofing', 'pharming attacks', 'cross-site scripting (XSS)', 'DNS poisoning']",2.0
34,Which attack exploits input validation vulnerabilities?,"['IDS', 'SIEM', 'packet sniffer', 'IPS']",2.0
35,"You are a security analyst, and you receive a text message alerting you of a possible attack. Which security control is the least likely to produce this type of alert?","['SELECT * FROM users WHERE username = "" AND 1=1--\'', 'SELECT * FROM users WHERE username = "" AND 1!=1--\'', 'SELECT * FROM users WHERE username = "" OR 1=1--\'', 'SELECT * FROM users WHERE username = "" OR 1!=1--\'']",2.0
36,"SQL injection inserts a code fragment that makes a database statement universally true, like _.","['static analysis', 'black box testing', 'dynamic analysis', 'penetration testing']",0.0
37,Which type of security assessment requires access to source code?,"['Autopsy', 'Snort', 'Nmap', 'Wireshark']",2.0
38,Which option is an open-source solution to scanning a network for active hosts and open ports?,"[""Evaluate the features of available DLP products to determine which best meet your organizations's needs."", 'Examine the flow of sensitive data in your organization to better understand usage patterns.', 'Conduct an inventory of all the data in your organization to establish classifications based on sensitivity.', 'Conduct a risk assessment to determine the best data labeling strategy for your organization.']",0.0
39,"When implementing a data loss prevention (DLP) strategy, what is the first step in the process?","['virus', 'worm', 'rootkit', 'Trojan horse']",2.0
40,Which malware changes an operating system and conceals its tracks?,"['encryption', 'a metropolitan area network', 'a virtual local area network', 'a wide area network']",0.0
41,Virtual Private Networks (VPNs) use _ to create a secure connection between two networks.,"['authentication', 'Single Sign-On', 'authorization', 'Role-Based Access Control (RBAC)']",0.0
42,What is the process of challenging a user to prove their identity?,"['SQL injection', 'dictionary attack', 'Distributed Denial of Service (DDoS)', 'rainbow table attack']",2.0
43,"Which cyberattack aims to exhaust an application's resources, making the application unavailable to legitimate users?","['risk mitigation', 'threat assessment', 'risk management', 'enumeration']",2.0
44,"You are a recent cybersecurity hire, and your first assignment is to present on the possible threats to your organization. Which of the following best describes the task?","['man-in-the-middle attack', 'back door', 'logic bomb', 'virus']",0.0
45,You are at a coffee shop and connect to a public wireless access point (WAP). What a type of cybersecurity attack are you most likely to experience?,"['Extended Detection and Responde (XDR)', 'Security Information Event Management (SIEM)', 'Intrusion Detection and Prevention System (IDPS)', 'Mobile Device Management (MDM)']",3.0
46,You have been tasked with recommending a solution to centrally manage mobile devices used throughout your organization. Which technology would best meet this need?,"['file permissions', 'buffer overflow', 'zero-day vulnerability', 'cross-site scripting']",2.0
47,Which type of vulnerability cannot be discovered in the course of a typical vulnerability assessment?,"['It identifies regulatory compliance requirements.', 'It prioritizes IT budget expenditures.', 'It quantifies the potential cost of a data breach.', 'It establishes the value of data to the organization.']",2.0
48,The DLP project team is about to classify your organization's data. Whats is the primary purpose of classifying data?,"['Cloud Workload Protection Platforms (CWPP)', 'Cloud Security Posture Management (CSPM)', 'Cloud Access Security Brokers (CASBs)', 'Intrusion Detection and Prevention System (IDPS)']",2.0
49,"You are responsible for managing security of your organization's public cloud infrastructure. You need to implement security to protect the data and applications running in a variety of IaaS and PaaS services, including a new Kubernetes cluster. What type of solution is best suited to this requirement?","['identification', 'authorization', 'accounting', 'authentication']",1.0
50,Sharing account credentials violates the _ aspect of access control.,"['Eradication / Remediation', 'Certification', 'Reporting', 'Lessons Learned']",0.0
51,You have recovered a server that was compromised in a malware attack to its previous state. What is the final step in the incident response process?,"['asymmetric', 'symmetric', 'hashing', 'all of these answers']",0.0
52,Which encryption type uses a public and private key pair for encrypting and decrypting data?,"['Reporting', 'Recovery', 'Eradiction / Remediation', 'Lessons Learned']",2.0
53,"You have just identified and mitigated an active malware attack on a user's computer, in which command and control was established. What is the next step in the process?","['C', 'Java', 'Ruby', 'Python']",0.0
