,Question,Answers,Right Index
0,How can you check your current git version?,"['git --v', 'git --version', 'git --option', 'git --current']",1
1,What command lets you create a connection between a local and remote repository?,"['git remote add new', 'git remote add origin', 'git remote new origin', 'git remote origin']",0
2,Describe what these Git commands do to the commit history:,"['They reset the HEAD to the fifth commit in the repo, then merge to the master branch.', ""The current branch's HEAD is reset back five commits, then prior commits are squashed into a single commit."", 'They delete the last five commits.', 'They merge the last five commits into a new branch.']",1
3,"Your current project has several branches; master, beta, and push-notifications. You've just finished the notification feature in the push-notification branch, and you want to commit it to beta branch. How can you accomplish this?","['reset --hard HEAD~5 resets the current branch to the commit just before the last 5 (see man gitrevisions for details about this notation and other cool alternatives like HEAD@{2 days ago}). As it is a hard reset, it will also overwrite every change in the working tree as well. See man git-reset.', 'merge --squash HEAD@{1} HEAD@{1} is where the branch was just before the previous command (again, see man gitrevisions). This command sets the state of the index to be as it would just after a merge from that commit. This whole operation could be a way to take 5 commits from a branch in which you started a new feature and squash them to a single commit, a meaningful one.']",-1
4,Which of the following is true you when you use the following command?,"['Checkout the push-notifications branch and run git merge beta', 'Checkout the master branch and run git merge beta -> push-notification', 'Delete the push-notification branch and it will be committed to the master branch automatically', 'Checkout the beta branch and run git merge push-notification']",3
5,What will the following command print to the Terminal?,"['All new and updated files are staged', 'Files are staged in alphabetical order.', 'All new files are staged', 'Only updated files are staged']",0
6,"Looking at the following commands, describe what is happening.","['A list of remote repositories and their URLs', ""The current git version you're running"", 'An inline editor for modifying remote repositories', ""The last 5 git versions you've installed""]",0
7,What does the following command do to the git repository?,"['The commit is being tagged for release on the feature-user-location branch', 'A commit is being copied from its original branch over to the feature-user-location branch', 'The commit is being cherry picked as the new HEAD of the commit history', 'A commit is being copied from the feature-user-location branch to the master branch', 'The branch is switched to the feature-user-location branch, and the specified commit is applied to the branch.']",2
8,"You find a bug in your project, but can't locate where it was introduced in the commit history. How would you diagnose this problem?","['It deletes all previous commits and reset the repository history back to its initial state.', 'It resets the working branch to the first commit.', 'It keeps the HEAD at the current commit, but clears all previous commits.', 'It sets HEAD to the previous commit and leaves changes from the undone commit in the stage/index.']",3
9,Why would the following command be used?,"['Manually backtrack through your commit history.', 'Use git search -diff to compare all commits in your repository history.', 'Run a git rebase to find the buggy commit.', 'Use git bisect to compare the buggy commit to an early commit that works as expected.']",3
10,Why would you use a pre-receive hook in your remote repository?,"['To run a comparative search of the last 10 commits for differences', 'To list the last 10 commits and modify them with either the squash or fixup command', 'To delete the last 10 commits and reset the HEAD', 'In order to locally cache the last 10 commits']",1
11,What option can you use to apply git configurations across your entire git environment?,"[""You wouldn't, you would use it in the local repository"", 'To execute a script when a remote receives a push that is triggered before any refs are updated', 'To fire a script after updates are made to the remote repository', 'To debug all commit tags and release versions']",1
12,How could you squash multiple commits together without using git merge --squash?,"['--all', '--master', '--global', '--update']",2
13,"If you cloned an existing git repository, what would happen?","['Caching', ""You can't. git merge --squash is the only git command for that operation."", 'Rebasing', 'Reflogging']",2
14,How can you display a list of files added or modified in a specific commit?,"['A new copy would overwrite the central repository', 'A copy of the repository would be created on your local machine', 'Nothing, cloning is not a supported git function', 'A copy of the repository would be created on the hosting platform']",1
15,What files is this .gitignore programmed to leave out?,"[""Find the commit in the remote repository, as that's the only place that kind of information is stored."", 'Use the diff-tree command with the commit hash.', 'Run git commit --info with the commit hash.', 'Access the commit stash data with git stash.']",1
16,"After you make changes to a local repository, you run the following command. What will this do?","['All files with a .swift, .txt, or metadata file extension, as well as the entire build directory', 'Only the build directory', 'All files in the build directory, as well as files ending with .txt or .metadata', 'Only files with .swift and .txt extensions.']",2
17,"After checking your git status you get the following output, which shows the file beta-notes.js in the commit but also unstaged. How can this situation occur?","[""Nothing, you can't use multiple options in the same command"", 'Adds all new files to the staging area', 'Commits all new files with a message', 'Adds all modified files to the staging area, then commits them with a message']",3
18,Where are files stored before they are committed to the local repository?,"['There were two copies of beta-notes.js but one was deleted', 'beta-notes.js was staged, then modified afterwards, creating two different versions of the file', 'Two copies of beta-notes.js were created, but only one is being tracked', 'There are two tracked copies of beta-notes.js, but one was removed from the commit']",1
19,What commands would you use to force an overwrite of your local files with the master branch?,"['Saved files', 'git documents', 'Staging area', 'git cache']",2
20,Which statement is true when you use the git add -A command?,"['â\xa0€\n  bash\n  git pull --all\n  git reset --hard origin/master', 'â\xa0€\n  bash\n  git pull -u origin master\n  git reset --hard master', 'â\xa0€\n  bash\n  git pull origin master\n  git reset --hard origin/myCurrentBranch', 'â\xa0€']",3
21,"You find that your project has a tag and branch both named push-notifications, which causes confusion when trying to print out given reference. How can you specify which branch you want to look at?","[""command pull is fetch followed by either merge or rebase (in this case, merge). We don't want to merge. Merge would be an action to our repository. We just want to overwrite our local files.""]",-1
22,Your team lead needs a list of all commits that will be moved before you perform a rebase. Which command can you use to access that information?,"['Only new files in the working directory are staged to the index.', 'All new and updated files from the working directory are staged to the index.', 'All files in the working directory are staged to the index in alphabetical order.', 'Only updated files in the working directory are staged to the index.']",1
23,What is the operation doing given the Git commands below?,"['use git show refs/push-notifications', 'use git show push-notifications', 'use git show heads/refs/push-notifications', 'use git show refs/heads/push-notifications']",3
24,"In a situation where you have several commits for a single task, what is the most efficient way to restructure your commit history?","['git rebase -log', 'git rebase -i', 'git rebase -verbose', 'git rebase -all']",1
25,Which of the following is true of the git push command?,"['It runs a merge of a good commit that is discovered using a known bad commit and known good commit', 'It marks a commit for deletion using a known bad commit and known good commit to determine which commit introduced a bug', 'It defines a bad commit and resets the HEAD using a known bad commit and known good commit', 'It performs a binary search using a known bad commit and known good commit to determine which commit introduced a bug']",3
26,"After pushing commits to the remote repository for the first time using the command below, what shorthand command can you use in future?","['Cherry pick the related commits to another branch.', 'Delete the task commits and recommit with a new message.', 'Squash the related commits together into a single coherent commit.', 'Stash the related commits under a new hash.']",2
27,How would you create a custom shortcut or command across your git environment?,"[""By default a push doesn't send tags to the remote repository."", 'Commits can only be tagged when they are created.', 'Tags are pushed to the remote repository with their respective commits.', 'Only annotated tags are automatically pushed to the remote repository with a commit.']",0
28,What is the status of the beta-notes.js file in the following output?,"['git push master', 'git push origin', 'Same as before, git push -u origin master', 'git push']",3
29,What command would let you modify your previous commit?,"['Run git hotfix with the shortcut name.', 'Assign a shortcut or command using git options file.', 'Use the git custom-key command.', 'Create an alias using the git config command.']",3
30,What is the best way to characterize the git commit structure?,"['beta-notes.js is untracked and has been modified.', 'beta-notes.js is a tracked file and has been modified, but has not been added to the current commit.', 'beta-notes.js is untracked but has been added to the current commit.', 'beta-notes.js is tracked, and the modified file has been added to the current commit.']",1
31,What change will the following command make to the staging area files?,"['--fix', '--quickfix', '--modify', '--amend']",3
32,"After you've successfully merged two branches and committed the changes, what is the next step in keeping your git structure organized?","['Data array', 'Data log', 'Data snapshot', 'Data dictionary']",1
33,"While modifying a file, you're unexpectedly assigned an urgent bug fix on another branch. How can you temporarily save your local work without committing?","['testfile.js will be removed from the staging area and its changes no longer tracked.', 'testfile.js will be removed from the staging area but its changes will still be tracked.', 'A copy of testfile.js will be cached on your desktop.', 'The current copy of testfile.js will be saved in the staging area.']",0
34,What command would you use to create a new git repository?,"['Use the git reset --soft HEAD to roll back one commit.', 'Run git branch -d <branch name> to delete the merged branch.', 'Use git clear-all to clean up any hanging files.', 'Run git rebase to move the current commit to its original location.']",3
35,"While working on a feature branch you try to use ""git rerere"" to solve a recurring merge conflict but nothing is happening. What could be causing this issue?","['This is not possible, as you cannot save locally without committing.', ""Run git hold to save a local copy of what you're doing to return to later."", 'Save your work with git local-cache.', 'Use git stash to save your work and come back later and reapply the stashed commit.']",3
36,Which setting determines what pager is used when Git pages output?,"['git add', 'git start', 'git new', 'git init']",3
37,What does commit object contain?,"['The ""-all"" option isn\'t added to the command.', '""rerere.enabled"" isn\'t enable in the config file.', 'The commit hash is missing.', ""The filepath isn't specified.""]",1
38,Which option enables inclusion of committer name in custom log format?,"['core.page', 'page', 'pager', 'core.pager']",3
39,How many ways are present in Git to integrate changes from one branch into another?,"['A set of files, representing the state of a project at a given point of time.', 'Reference to parent commit objects.', 'An SHA1 name, a 40-character string that uniquely identifies the commit object.']",2
40,Which user should be created first during setting up of SSH?,"['%ce', '%cr', '%cd', '%cn']",3
41,Which command will list tags with the 1.4.2 series?,"['3', '5', '2', '4']",2
42,Which of the following is an integration manager?,"['git', 'admin', 'root', 'None of these']",0
43,Which Git command begins tracking of a new file?,"[""git tag 'v1.4.2'"", ""git tag -I 'v1.4.2.*'"", ""git tag-list 'v1.4.2*'"", ""git tag 'v1.4.2*'""]",1
44,Which of the following is called dumb protocol?,"['lieutenants', 'benevolent dictator', 'Depends upon project type', 'Depends upon data']",1
45,"Which key press returns a set of suggestions to pick from, when writing a Git command?","['add', 'addfile', 'begin', 'track']",0
46,Which of these terms best describes Git?,"['All of these', 'SSH', 'Git', 'HTTP']",3
47,Which command gets a copy of an existing Git repository?,"['Control', 'Shift', 'Tab', 'Alt']",2
48,How does Git think of its data?,"['Distributed Version Control System', 'Issue Tracking System', 'Integrated Development Environment', 'Web-Based Repository Hosting Service']",0
49,Which option enables inclusion of author name in custom log format?,"['duplicate', 'replicate', 'copy', 'clone']",3
50,Which version onwards did Git offer reversing a file back to what it looked like when last committed?,"['File', 'None of these', 'Snapshot', 'Folder']",2
51,Which strategy is used by Git for merging two branches?,"['%am', '%ad', '%ae', '%an']",3
52,What does refs store?,"['1.7', '1.6', '2.0', '1.8']",1
53,What Language is used in GIT?,"['LIFO', 'recursive', 'FIFO', 'octopus']",1
54,What is usually the extension of file which has the public key?,"['SHA-1 value', 'None of these', 'Branch name', 'Project name']",0
55,What is the difference between initializing a normal repo and a bare repo?,"['C', 'C++', 'C#', 'Java']",0
56,How many individual commits can a single repository have?,"['ssh', 'pub', 'key', 'pk']",1
57,What types of tags does Git support?,"['Bare repos store their git history in a .git subfolder.', 'Bare repos do not have the .git extension.', 'Bare repos do not come with working or checked-out source files.', 'Bare repos should be used for local rather than remote repos.']",2
58,"After staging a series of changes to the index, which command could you use to review them prior to a commit?","['any number of commits', 'only one commit local per repository', 'only three commits per branch', 'only one commit per HEAD']",0
59,What does the git stash drop command do?,"['heavy and concise', 'lightweight and immutable', 'heavy and annotated', 'lightweight and annotated']",3
60,What command creates a new branch from the currently checked-out branch?,"['git diff --cached', 'git diff', 'git diff --HEAD', 'git status -v -v']",0
61,"After mistakenly staging a file named myFile to the index, how would you remove it from the index to exclude it from your next commit?","['removes the most recent stash entry', 'deletes the stash', 'lists everything in the stash', 'throws away the oldest entry']",0
62,What happens if you run this command from your master branch?,"['git -b checkout <nameOfBranch>', 'git branch', 'git checkout <nameOfBranch>', 'git checkout -b <nameOfBranch>']",3
63,How does Git internally manage branches?,"['Use git reset HEAD^.', 'Use git reset myFile.txt.', 'Use git -rm myFile.txt.', 'Use git reset.']",1
64,You want to perform a git reset but cannot recall all of the available options. What command would you use to see a description of them?,"['The beta-test branch will be checked out of the current commit.', 'The beta-test branch will be checked out and deleted.', 'A new branch called beta-test will be created and switched to.', 'The beta-test branch will be merged with the master branch.']",2
65,What is a remote repository?,"['by creating a pointer to the most recent snapshot/commit for the branch.', 'by creating a data array of branches in the same repository.', 'by creating a data dictionary of code changes.', 'be creating a debug log that stores repository changes.']",0
66,"After modifying some existing files in a repository, you decide to discard the changes. What command can you use?","['git help reset', 'git -h reset', 'git options reset', 'git reset help']",0
67,"After starting to merge a feature branch into your master branch, you encounter a merge conflict and decide you do not want to perform the merge. How can you stop the merge and restore to the pre-merge state?","[""a version of the repository that mirrors changes made in the local repository's master branch for open-source collaboration efforts"", 'the lead repository elected by the Git arbitrator found within local repositories of collaborating team members', 'a read-only version of the repository stored on a backup server in case local repositories become lost or corrupted', 'a version of the repository hosted on the internet or network that is pushed to or pulled from by collaborators']",3
68,"If you have several commits for a single feature, what is the most efficient way to restructure your commit history?","['git restore', 'git undo', 'git clean', 'git checkout']",0
69,Which command correctly creates a lightweight tag?,"['Use git restore -p.', 'Use git merge -u.', 'Use git merge --abort.', 'Use git merge --undo.']",2
70,What is the main issue with using git rebase when working with multiple developers?,"['Use git stash to consolidate the commits under a new hash.', 'Use git squash to consolidate the commits together into a single coherent commit.', 'Delete the task commits and recommit with a new message.', 'Use git cherry-pick to place the commits in another branch.']",1
71,What Git workflow is used by teams that collaborate on a single branch and avoid creating long-lived development branches?,"['git tag v3.8.1', 'git tag --light ""v3.8.1""', 'git tag v3.8.1 â€”-annotate -m ""<tagMessage>""', 'git tag -l v3.8.1']",0
72,Which option on the git log command allows you to limit output to commits made after certain date?,"['Rebase affects only your repository and creates a diff in the master branch.', 'Rebase creates a temporary copy of the master branch in the remote repo.', 'Rebase moves the HEAD of the remote master branch one commit forward.', 'Rebase deletes all commit history for the new feature branch.']",3
73,How would you delete unreachable objects older than a specified time from your project database?,"['Git flow', 'Mainline flow', 'Trunk-Based Development', 'GitHub flow']",2
74,What conflicts can occur when forcing a push after rebasing?,"['--since', '--sinceWhen', '-<n>', '--afterDate']",0
75,How does this command alter the currently checked-out branch?,"['git cache --obsolete <time>', 'git branch --rebase <time>', 'git delete --inert <time>', 'git prune --expire <time>']",3
76,What is the difference between Git and SVN?,"['The remote master branch could have existing changes overwritten.', 'The origin URL will be reset to its default value.', ""The current HEAD will be deleted and can't be reinstated."", ""Nothing, it's common practice to force a push after rebasing.""]",0
77,This command is an example of what kind of tag?,"['It resets the working branch to the first commit.', 'It sets HEAD to previous commit and leaves changes from the undone commit in the stage/index.', 'It deletes all previous commits and resets the repository history back to its initial state.', 'It keeps the HEAD at the current commit, but clears all previous commits.']",1
78,What is the difference between a soft reset (git reset --soft) and a hard reset (git reset â€“hard) ?,"['Git works only on Linux, while SVN works on all operating systems.', 'SVN works only on Linux, while Git works on all operating systems.', 'SVN is a centralized system, while Git is a distributed system.', 'Git a centralized system, while SVN is a distributed system.']",2
79,Consider the following Git workflow:,"['verbose', 'annotated', 'lightweight', 'deferred']",1
80,What information does the git config file store?,"['A soft reset only changes the commit that HEAD points to, while a hard reset resets the index and working tree to match the specified commit, discarding any changes.', 'A soft reset caches the old HEAD pointer, while a hard reset deletes it entirely.', 'A hard reset changes only where the HEAD is pointing, while a soft reset changes the HEAD and index.', 'A hard reset caches the old HEAD pointer, while a soft reset deletes it entirely.']",0
81,What is version control?,"['1. Develop 2. Release 3. Hotfix 4. Feature 5. Master', '1. Master 2. Release 3. Hotfix 4. Feature 5. Develop', '1. Develop 2. Master 3. Hotfix 4. Feature 5. Develop', '1. Master 2. Hotfix 3. Develop 4. Feature 5. Release']",3
82,What is the difference between using the git stash and git stash pop commands?,"['shell scripts and flags', 'keychain and account information', 'local and global repository options', 'pre-compile scripts and settings']",2
83,Which command can be used to list the branches that have been merged into the currently checked-out branch?,"['a type of architecture used to manage large databases', 'a system that shows, tracks, and controls changes to a set of files over time', 'a programmatic design pattern used to manage code between multiple engineering teams', 'a type of software that links a project with a GitHub repository']",1
84,How would you configure Git to abort a commit if a smoke test script fails?,"['git stash removes a commit from the repo history, while git stash pop saves changes to multiple branches.', 'git stash saves changes to multiple branches, while git stash pop removes a commit from the repo history.', 'git stash removes the most recent commit, while git stash pop saves current changes.', 'git stash creates a stash entry, while git stash pop places the saved state onto the working directory.']",3
85,Which use case is NOT a good candidate for a Git hook?,"['git master --status', 'git branch --status', 'git branch --merged', 'git status --merged']",2
86,"After starting to work on a new feature and creating new files in the working directory related to it, the customer determined the feature was no longer required. What command can be used to remove the untracked files from the working directory ?","['Create a post-commit shell script that triggers the action.', 'Create a post-commit hook to trigger the script.', 'Create a pre-commit hook to trigger the script.', 'Create a pre-commit shell script that triggers the action.']",2
87,What information do Git reflogs (reference logs) store?,"['state dependent environment changes', 'continuous integration', 'increasing code coverage', 'enforcing commit rules']",0
88,"You have just completed rebasing your master branch and need to manually update the remote master, even though there is a merge conflict. How can you accomplish this?","['git clean -f', 'git rm .', 'git reset HEAD', 'git checkout .']",0
89,What is the difference between git fetch and git pull,"['shell script pointers and keychain credentials', 'updates to branch tips and other references in the local repository', 'release notes and hook script values', 'tag and versioning information']",1
90,"What command displays the difference between the working tree and the stage/index area, as well as files not tracked by Git?","['git push --overwrite', 'git push --update', 'git push --assert', 'git push --force-with-lease']",3
91,"Your current repository has three branches: master, beta, and push-notifications. You have just finished the notification feature and commit the changes to the push-notification branch, and you want to include them in the beta branch. How can you accomplish this?","[""git fetch creates a new branch off the master branch, while git pull creates a new branch off the local repository's master branch."", 'git pull downloads new data from a remote repository without integrating it into local files, while git fetch updates the current HEAD branch with the latest changes from the remote server.', 'git fetch updates remote tracking branches with changes from a remote repository, while git pull updates remote tracking branches with changes from a remote repository and merges them into their corresponding local branches.', 'git fetch downloads and merges data from the local repository, while git pull informs your colleagues you are about to make changes to the master branch.']",2
92,You would like to restore some previously stashed work to a new branch. How can you do that?,"['git current', 'git status', 'git local', 'git context']",1
93,What is the difference between git branch -d and git branch -D?,"['Check out the beta branch and run git merge push-notifications.', 'Check out the push-notifications branch and run git merge beta.', 'Check out the master branch and run git merge beta -> push-notifications.', 'Delete the push-notifications branch; it will be committed to the master branch automatically.']",0
94,You stashed three sets of changes but cannot remember the contents of the first stash entry. What command would you use to see the details of the changes in the first of the three stash entries?,"['Use git branch <stash hash>.', 'Add the stashed commits to the current commit, then create a new branch.', 'Use git checkout -b.', 'Run git stash branch <branch name>.']",3
95,Which statement is true of the git push command?,"['-D deletes the local branch, while -d deletes the branch regardless of push and merge status.', '-d deletes the current commit head, while -D deletes the entire branch.', '-d deletes the local branch, while -D deletes the local branch regardless of push and merge status.', '-D deletes the current commit head, while -d deletes the entire branch.']",2
96,How would you delete a remote branch in your repository?,"['git stash show -p stash@{2}', 'git stash list', 'git stash show -p stash@{1}', 'git stash show -p']",0
97,What is the default setting of git reflog when no subcommands are specified?,"[""By default, a push doesn't send tags to the remote repository."", 'Only annotated tags are automatically pushed to the remote repository with a commit.', 'Tags are pushed to the remote repository with their respective commits.', 'Commits can be tagged only when they are created.']",0
98,How does the -p option change the behavior of the git add command,"['Use git --delete <branch_name>.', 'Use git push <remote_name> --d <branch_name>.', 'Use git push <remote_name> --D.', 'Use git push <remote_name> --delete <branch_name>.']",3
99,"After checking out a specific commit, you receive a warning message indicating You are in 'detached HEAD' state. What is Git warning you of?","['delete', 'expire', 'show', 'update']",2
100,"After accidentally deleting a branch in your local repository, how can you recover it?","['It causes tracked files in the parent directory to be included in the staged files.', 'It allows developers to interactively choose which changes to tracked files are staged and outputs the differences for review.', 'It automatically pushes changes to the corresponding branch on the remote repository.', 'It allows developers to interactively choose which files are committed and outputs the differences for review.']",1
101,"How would you display a histogram showing inserts, deletion, and modifications per file for a specific commit along with its general commit information?","['You are not working on the most recent commit of a branch.', 'A teammate has flagged the code with an issue.', 'The commit does not have a parent.', 'The branch has not been pushed to the remote repository.']",0
102,What features do repository managers such as GitHub provide beyond Git?,"['It cannot be recovered.', 'Find the hash of the branch with the log command, then execute git checkout -b <branchname> <hash>.', 'Find the hash of the branch with the reflog command, then execute git checkout -b <branchname> <hash>.', 'Execute git checkout -b <branchname>.']",2
103,What command finds the HEAD of the current branch?,"['Use git stat.', 'Use git debug --prettyprint.', 'Query the remote repository with the commit hash.', 'Use git show <commit> --stat.']",3
104,"When Git Workflows contain a long-running branch, what purpose does the long-running branch serve?","['Repository managers are proprietary versions of Git that do not include enhanced features.', 'Repository managers provide an enhanced command-line tool that is used to manage multiple local repositories.', 'Repository managers provide an online service for hosting Git repositories that include collaboration features such as pull requests, issue tracking, and peer reviews.', ""Repository managers distribute repositories across multiple locations on a user's workstation, providing redundant storage that allows for quick backup and recovery.""]",2
105,What command takes changes from the master branch on the remote repository orgin and merges then to the local checked-out branch?,"['git head --verify', 'git log --head', 'git hash --head', 'git show-ref --head']",3
106,"While pushing changes to a remote repository, you receive the following message. How do you resolve this issue?","['Long-running branches store unstable code until it os peer reviewed for integration into a feature branch.', 'Long-running branches correspond to agile sprints and are used to store related to features developed in the sprint.', 'Long-running branches contain code related to expiremental feature development that is merged into short-lived branches such as master.', 'Long-running branches correspond to different stages of development and are allways open for topic/feature branches to be pulled into.']",3
107,What does the -p option add to the output of the git log command?,"['git commit -u origin', 'git checkout origin', 'git pull origin master', 'git push origin master']",2
108,What is the staging area or index?,"['Use the --atomic option with the push command.', 'Execute a pull, then resolve any merge conflicts and execute another push.', 'Execute a fetch, then execute another push.', 'Use the --force option with the push command.']",1
109,What command would you use to stage changes to the index strictly for properties files in the current directory?,"['It adds patch output that shows the differences introduced in each commit.', 'It adds patch output that shows a summary listing modified files.', 'It adds padding to the output and displays a histogram showing the number of lines changed in each commit.', 'It adds the full commit message and notes associated with each commit.']",1
110,What are untracked files?,"['an area that stores commits prior to them being pushed to the remote repository', 'an area containing stash entries that can applied to the working files', 'an area where changes from a branch in the remote repository are stored before they are applied to a local branch', 'an area that stores information about changes that will be included in the next commit']",3
111,What command takes changes from the master branch on the remote repository origin and merges them to the local checked-out branch?,"['git add *.properties', 'git add %.properties', 'git add .properties', 'git add properties']",0
112,What type of Git hook could be used to validate that a commit message contains a ticket number?,"['files in the local repository that have not been merged into the master branch', 'staged files that Git does not know about because the have not been committed', 'files in the working directory that Git does not know about because the have not been staged or committed', 'files in the remote repository that Git does not know about because they have not been tagged']",2
113,What is the difference between git stash pop and git stash apply?,"['git checkout origin', 'git commit -u origin', 'git pull origin master', 'git push origin master']",2
114,"After making some major changes to your code, you are a little nervous about committing. What command would you use to review the commit prior to making it?","['pre-commit', 'commit-msg', 'applypatch-msg', 'prepare-commit-msg']",1
115,What statement best describes Git's concept of HEAD?,"['git stash pop pushes the topmost commit to the current branch, while git stash apply caches the last commit in the current branch.', 'git stash pop applies the topmost entry in the stash to the working files and removes it from the stash, while git stash apply applies the topmost entry in the stash to the working files but leaves it in the stash.', 'git stash pop merges the topmost commit to the current branch, while git stash apply merges the last commit in the current branch.', 'git stash pop applies the topmost entry in the stash to the working files but leaves it in the stash, while git stash apply applies the topmost entry in the stash to the working files and removes it from the stash.']",1
116,"After staging changes to several files, you realize the changes to the confin.properties file are incorrect, and need to be removed from the stage and working directory. What command can you use to remove the staged changes to the file?","['git commit --verify', 'git notes show', 'git commit preview', 'git commit --dry-run']",3
117,"After a recent release with a stack trace, an issue is create that indicates the problem is with a newly added configuration property named MaxConnections. What command can find all commits that add or remove the string MaxConnections?","['a pointer to the most recently changed file in the stage/index', 'a pointer to the master branch', 'a pointer to the most recent commit in the currently checked-out branch', 'a pointer to where the repository is stored in memory']",2
118,Your company has moved its remote repository to GitHub at this location: https://github.com/yourcompany/core-api.git. What command updates the,"['git reset HEAD^ -- config.properties', 'git rm config.properties', 'git rf config.properties', 'git checkout HEAD -- config.properties']",1
119,When is the cherry-pick command used?,"['- git grep -a ""MaxConnections""', '- git log --search-string ""MaxConnections""', '- git log -S ""MaxConnections""', '- git commit --with ""MaxConnections""']",2
120,How would you describe a fokred repository?,"['- git remote create-update origin https://github.com/yourcompany/core-api.git', '- git remote update origin https://github.com/yourcompany/core-api.git', '- git remote set-url origin https://github.com/yourcompany/core-api.git', '- git remote add https://github.com/yourcompany/core-api.git']",2
121,How can you exclude untracked files within the working directory from a Git repository?,"['- when a commit from one branch needs to be copied into another branch', '- when the HEAD needs to be reset to a specific commit', '- when a specific commit needs to be pulled down from the remote repository', '- when a hook script needs to be invoked']",0
122,,"['- a deleted or archived copy of a repository', '- a beta release branch of a repository', '- a future branch of a repository', '- a separate copy of a repository']",3
123,,"['- You cannot exclude the files from the repository.', '- Tag the files with excluded.', '- Add a pattern matching the files to the .gitignore file.', '- Add the files to the omitted branch']",2
