,Question,Answers,Right Index
0,Some of your data in Column C is displaying as hashtags (#) because the column is too narrow. How can you widen Column C just enough to show all the data?,"['Right-click column C, select Format Cells, and then select Best-Fit.', 'Right-click column C and select Best-Fit.', 'Double-click column C.', 'Double-click the vertical boundary between columns C and D.']",3
1,Which two functions check for the presence of numerical or nonnumerical characters in cells?,"['ISNUMBER and ISTEXT', 'ISNUMBER and ISALPHA', 'ISVALUE AND ISNUMBER', 'ISVALUE and ISTEXT']",0
2,"If you drag the fill handle (lower-right corner) of cell A2 downward into cells A3, A4, and A5, what contents will appear in those cells?","['Jan, Jan, Jan', 'Feb, Mar, blank cell', 'Feb, Mar, Apr', 'FEB, MAB, APR']",2
3,"If cell A3 contains the text THE DEATH OF CHIVALRY, what will the function =PROPER(A3) return?","['the death of chivalry', 'The death of Chivalry', 'THE DEATH OF CHIVALRY', 'The Death Of Chivalry']",3
4,"In the worksheet below, you want to use Data > Subtotal to show a subtotal value per sport. What must you do BEFORE applying the Subtotal function?","['Sort by the data in Column E.', 'Format the data in Column D.', 'Sort by the data in Column D.', 'Format the data in Column E.']",2
5,"When editing a cell, what do you press to cycle between relative, mixed, and absolute cell references?","['Alt+F4 (Windows) or Option+F4 (Mac)', 'Alt+Shift+4 (Windows) or Option+Shift+4 (Mac)', 'Ctrl+Shift+4 (Windows) or Command+Shift+4 (Mac)', 'the F4 (Windows) or Command+T (Mac)']",3
6,You need to add a line chart showing a sales trends over the last 12 months and you have only a little space to work with. How can you convey the required information within a single cell?,"['Add an image of the chart to a comment.', 'Add a hyperlink to another worksheet that displays a chart when clicked.', 'Add an image of the chart to the worksheet.', 'Add a sparkline, a graphic that summarizes data visually within a single worksheet cell.']",3
7,What is the best way to activate the Excel Help system?,"['Right-click anywhere and select Help.', 'Press F1 or click the Help tab in the ribbon.', 'Press F10.', 'all of these answers.']",1
8,"Which format will display the value 27,500,000 as 27.5?","['##,###,,', '###.0,,', '999.9,,', '###,###.0,']",1
9,"When using Goal Seek, you can find a target result by varying _ at most.","['three inputs', 'four inputs', 'two inputs', 'one input']",3
10,"In the image below, which option(s) can you select so that the appropriate field headers appear in cells A4 and B3 instead of the terms Row Labels and Column Labels, respectively?","['Show in Tabular Form', 'Show in Compact Form', 'Show in Compact For or Show in Outline Form', 'Show in Tabular Form or Show in Outline Form']",3
11,Which formula is NOT equivalent to all of the others?,"['=A3+A4+A5+A6', '=SUM(A3:A6)', '=SUM(A3,A6)', '=SUM(A3,A4,A5,A6)']",2
12,Which custom format will make the cells in column A appear like the corresponding cells in column B?,"['MMM-YYYY', 'MMMM-YYYY', 'MMMM&""-""&YYYY', 'M-YYYY']",1
13,Which function returns a reference to a cell (or cell range) that is a specified distance from a base cell?,"['OFFSET', 'VLOOKUP', 'INDEX', 'MATCH']",0
14,You're working with columns whose width and font-size should not be changed. Yet the columns are too narrow to display all the text in each cell. What tool should you use to solve the problem?,"['Sparklines', 'Wrap Text', 'Fill Handle', 'Centered Alignment']",1
15,"Of the four chart types listed, which works best for summarizing time-based data?","['pie chart', 'line chart', 'XY scatter chart', 'bar chart']",1
