,Question,Answers,Right Index
0,What can you set a reminder for in Outlook?,"['all of these answers', 'contacts', 'email messages', 'appointments and meetings']",0
1,What is the default permission that other people in your organization have to your calendar?,"['They can view free/busy details only.', 'They can edit.', 'They can view all details.', 'They can view titles and locations.']",0
2,Your boss sends you an email with a request to set up a meeting and copies all meeting attendees on the message. What is the fastest way to create the calendar appointment,"['Click New Items > New Appointment.', 'Click Calendar > New Meeting, and then copy and paste information as needed.', 'with the email open, click Meeting on the Home ribbon or Message tab.', 'Click Reply All.']",2
3,You are running low on Outlook storage space. How might you address this problem?,"['all of these answers', 'Archive messages you are done with.', 'Save and then remove large attachments from messages', 'Sort by size and then delete large messages.']",0
4,Why are read receipts less reliable than delivery receipts?,"['A and C', 'B and C', 'A and B', 'A,B,and C']",-1
5,What address box should you use if you want to hide message recipients from each other?,"['Bcc', 'to', 'cc', 'From']",0
6,"You are creating a new email message to Diane and Joey. You need a response from Diane, but are simply informing Joey. How should you address the email?","['to Diane and Joey', 'to Diane and bcc Joey', 'to Joey and bcc Diane', 'to Diane and cc Joey']",3
7,Which choice is not an attachment?,"['a PDF document included with an email', 'a Word document included with an email', '(أ‚) a calendar item included with an email', 'a hyperlink included in an email']",3
8,You can use a_to indicate that a message requires further action and ato organize the message.,"['folder; category', 'flag; tag', 'category; flag', 'flag; category']",1
9,"You create a task and assign it to Nalia. Nalia reviews the request and declines the assignment. Where is the task now, and who is the owner?","['The task is nowhere, and no one is the owner.', 'The task is in your task list, and you are the owner.', ""The task is in Nalia's task list, and you are the owner."", ""The task is in Nalia's task list, and Nalia is the owner until she reassigns it to you.""]",-1
10,What does Outlook automatically point out to you when you are invited to a meeting?,"['if your attendance is mandatory', 'ifthe meeting is high or low priority', 'the amount of time you have between this meeting and your next event', 'if the meeting is adjacent to another event in your calendar']",0
11,What appears on your screen whenever a new email arrives?,"['an emoji', 'an alert', 'a notice', 'a bell icon']",1
12,"Some of your inbox folder are used for annual or biannual projects, while others are used for work that is not based on projects. The same is true for your calendars. How can you use archiving to increase your efficiency and minimize the size of your mailbox?","['Review your folders to determine the age of messages that should auto archive in each folder. Set the most frequent value as the AutoArchive default', 'For each folder, determine whether aged items should be deleted or archived', 'Set individual settings for folders that should be archived, but not using the default settings', 'All of these answers']",-1
13,Removing redundant messages can be completed by utilizing what Outlook features?,"['Filter', 'Junk Mail', 'The Delete Key', 'Clean Up Conversation']",3
14,You have sent several emails to a customer and have not received a response. What option do you set to know whether the customer receives your messages?,"['Delivery receipt', 'All of these answers', 'Read receipt', 'Tracking']",0
15,A message on your summary list appears with a paper clip icon and an arrow pointing to the left. What does this indicate?,"['The message has been replied to and contains an attachment', 'The message has been flagged and contains an attachment', 'None of these answers', 'The message has been forwarded and contains an attachment']",0
16,What is a key difference between sending someone your Outlook contact and sending you Outlook business card?,"['Sending the contact is faster because the contact itself has no formatting', 'Sharing a contact is superior because more email systems support Outlook contacts rather than business cards', 'There is no real difference', 'Your business card can be edited to omit personal information such as a home phone']",-1
17,"You have received an email message with detailed notes that you need to analyze before responding, so you want to save it as a task. What is the best way to create a new task that includes the notes in the body of the task?","['Right click the email message, drag and drop it on the Tasks icon, and click Copy Here as Task with Attachment', 'Copy and paste the notes into a new task form', 'Drag the email message and drop it on the Tasks icon', 'Right click the email message, drag and drop it on the Tasks icon, and click Move Here as Task with Attachment']",-1
18,"There are two types of Outlook rules. One is server-based rules, which run for Exchange Server. What are the other kind, which in part or in whole cannot run on Exchange Server, and when do the execute?","['client-only rules; when Outlook is running', 'Outlook-based rules; when Outlook is running', 'None of these answers', 'Outlook-only rules; when Outlook is offline']",0
19,"In earlier version of Outlook, you could easily apply a color to messages sent only to you, but the messages on which you were cc'd were still a visual distraction. How might you create an Inbox experience that is more focused than the default Outlook experience?","['Create a CCd folder, and then create a rule to move all messages where you are on the CC line to that folder', 'Create a rule to move all messages where you are in the CC line to the Deleted Items folder', 'Create a rule to apply conditional formatting to all messages where you are in the CC line', 'Turn on Focused Inbox']",-1
20,How can you quickly locate emails with large attachment?,"['Sort the messages by size then filter by Has: Attachments', 'Sort the messages by sender', 'Sort the messages by Has: Attachments and then filter by Is: Large', 'Sort the messages by Has: Attachments and then by size']",3
21,What is not a built-in search filter for message folder?,"['Has Attachments', 'Sent to me as Bcc', 'Categorized', 'Not sent directly to me']",1
22,"You created a meeting for next Friday at 1 PM, and several invitees have accepted. How do you change only your version of the meeting to 12 PM to allow time to setup?","['Double click the meeting to open its form, and then change the start time and close it', 'None of these answers', 'Open the calendar in Day, Week, or Work Week view and drag the start time to 12 PM', 'You must create a separate appointment for yourself from 12 PM to 1 PM']",3
23,What is the fastest way to find a message sent by Bonnie Bradford that includes an attachment?,"['Search based on sender then filter by Has Attachments', 'Search for ""has:attachments"" and then filter by Bonnie Bradford', 'All of these answers', 'Enter ""Bonnie Bradford attachment"" in the search box']",2
24,Each category must have a unique _,"['color', 'folder', 'name', 'name and color']",2
25,"Outlook autocompletes email addresses you have used previously, including addresses that you mistyped. How can you remove an incorrect autocomplete suggestion?","['Search the autocomplete library, select the incorrect suggestion, and then click Delete', 'Close Outlook, reboot your computer, and restart Outlook', 'Wait until the suggestion appears again, then highlight it and press the Delete key', 'Delete the corresponding contact']",2
26,What is the key difference between an appointment and a meeting?,"['A meeting includes other people', 'An appointment is automatically marked as busy while a meeting is marked as tentative', 'An appointment can be all day, while a meeting has specific start and end time', 'A meeting has specific start and end times']",0
27,"When adding an email account to Outlook, why might you need to enter the server settings manually?","['You did not write down your password', 'Outlook cannot detect the proper settings for your server automatically', 'You do not have an email server', 'The server is not on the list of Microsoft approved servers']",1
28,"You are viewing a date three months in the future, in Month view. You switch to check an email in the same window. When you switch back to the calendar, what will Outlook display?","['the current month', 'the Month view for a date three months in the future', 'the current date in Day view', 'the current date in Week view']",0
29,"When you @mention a colleague in an email message, what does not happen?","[""Your colleague's name is highlighted in the message"", 'The colleague is automatically added to the To line', ""@ appears next to the message in your colleague's Inbox"", '@ appears next to the email in your Sent items folder (Sent folder in Outlook for Mac)']",1
30,What is an appropriate use for voting buttons?,"['Asking your supervisor to prioritize a list of tasks', 'Sending customers a three-question survey about a recent service experience', 'Asking your colleagues to choose their favorite lunch spot from a list', 'All of these answers']",2
31,"You created a meeting for next Tuesday at 2 PM, and several invitees have accepted. How do you change the meeting so it will begin at 1 PM and last for one hour?","['B', 'C', 'A or B', 'A']",2
32,"What permission allows your delegates to read, create, change, and delete items that they create, but not items that you created?","['Reader', 'Author', 'Reviewer', 'Editor']",1
33,Why might you create an additional contacts folder?,"['To store contacts to share with colleagues', 'To avoid exceeding 500 contacts per folder limit', 'To make it faster to search for your contacts', 'All of these answers']",0
34,"When accepting a meeting invitation, what happens if you click ""Do not send a response""?","['Outlook will send an email to the meeting organizer on your behalf', 'The meeting organizer will not receive an email with your response, and your response will be recorded', 'The meeting organizer will not receive an email with your response, and your response will not be recorded', 'None of these answers']",1
35,What happens to your calendar when you adjust the time scale?,"['You set time constraints for looking events', 'You automatically switch to list view', 'You change the time zone that your calendar uses', 'You change the number of hours visible on the grid']",3
36,Which is not a good reason to create a new calendar?,"['To keep track of personal events in a work setting', 'To use a shared calendar with colleagues', 'To isolate meetings and important dates for a project team', 'To have a different view of your calendar']",3
37,Under what conditions can you successfully recall a message?,"['Only when the recipient is also using Outlook', 'Only if the email is plain text without attachments', 'If the email si still in your outbox', 'If the email was sent within the past 24 hours']",0
38,What rule can you create in View Settings to color code messages from a particular senderm such as your manager?,"['Format Columns', 'Conditional Formatting', 'Group By', 'By Sender']",2
39,You have a contact folder for members and you need to track two additional pieces of member information: start date and last renewal. What is the simplest wat to track this information?,"['Export your contacts to Excel, which ash lots of columns; add the data; and then import the contacts back to Outlook', 'Use the Field Chooser to create two new columns of type Date in the folder', 'Create a custom contacts form that includes two text boxes to collect this data', 'All of these answers']",-1
40,You have created a rule to automatically route emails to the Project A folder. Why might you also add Project A to Favorites? (Select all that apply),"['A and C', 'A, C, and D', 'A and B', 'B and D']",-1
41,Each _ can be assigned two default signatures for _ .,"['None of these answers', 'email account; new messages and replies or forwards', 'user; new messages and replies', 'user; new messages and replies or forwards']",1
42,"While using Focused Inbox, you notice that Outlook sometimes puts important messages from a specific customer on the other tab. How do you fix this for future messages?","['Right-click a message that was incorrectly organized and click Move to Focused.', 'Right-click a message that was incorrectly organized and click Always Move to Focused.', 'Close the Outlook application and relaunch.', 'Locate that customer in the People Hub and select the Focused check box.']",0
43,"In the Outlook interface shown below, why is the Show as Conversations option grayed out?","['The Inbox folder is sorted by size.', ""The People peek is open and Sally Kerner's card has focus."", 'Focused Inbox is being used.', 'The People peek is open and has focus.']",-1
44,"Suppose you select a message in Focused Inbox and then chose Move to Other, but the message does not move. What is the most likely cause?","['Clutter is prioritizing the messages.', 'Your mailbox is not ser for random synchronization.', 'The mailbox is offline.', 'The mailbox is a shared mailbox.']",-1
45,"For efficiency, how should you save a search that you run frequently?","['as a search folder (Smart Folder on Mac)', 'none of these answers', 'as a column', 'as a criteria set']",0
46,"When you compose an email and click the To or Cc button, where does Outlook search first?","['none of these answers', 'your People list', 'your Outlook Favorites', 'the global address book']",3
47,What do you call an appointment or meeting that happens on a regular basis?,"['repeating', 'redundant', 'related', 'recurring']",3
48,"Which key, when held down, allows you to select multiple nonadjacent emails?","['Alt (Windows) or Option (Mac)', 'Shift+Tab', 'Ctrl (Windows) or Command (Mac)', 'Shift']",2
49,You are inviting five members of your executive staff to an offsite retreat. You need to ensure that they do not share the invitation with others. What should you do before sending the email?,"['Include the text ""No Forward"" in the Bcc field.', 'Turn off the Allow Forwarding option.', 'Prefix the email subject with ""FWD OFF"".', 'Turn on the No Forwarding option.']",1
50,"When adding a calendar to view, which is not a valid option?","['From Internet', 'From Contacts', 'From Address Book', 'From Room List']",-1
51,Which criteria can you select to filter email in the Focused folder?,"['unread status', 'importance', 'message size', 'date received']",-1
52,A meeting reminder showed up and you accidently closed it. What is the best way to bring back the reminder when in Calendar view?,"['Right-click the meeting in the Calendar and select Reminders Window.', 'Close and reopen Outlook', 'On Windows, on the Home tab, click Schedule View. On Mac, click View > Switch to Other.', 'On Windows, on the View tab, click Reminders Window. On Mac, click Windows > Reminders.']",3
53,You received an email from someone and want to find other emails from this person. Witch method is not a way to see those emails across all folders?,"['Highlight the email in the viewing pane and sort by From,', ""Enter the person's email address into the search box."", 'On the Folder tab, click New Search Folder and select Mail from specific people.', 'Right-click the email and select Find Related > Messages from sender.']",3
54,What does the ignore button allow you to do?,"['Flag yourself as unavailable to specific coworkers.', 'Route all future emails from a user directly to the Deleted Items folder.', 'Skip all misspellings of a specific word.', 'Turn off all reminders and notifications.']",3
55,"When you flag an email for follow-up, you are assigning the email a(n) _ .","['importance level', 'priority level', 'category', 'due date']",-1
56,What happens when you drag an email to the Calendar icon?,"['The Archive window opens.', 'Outlook schedule a reminder.', 'Outlook schedule a appointment.', 'The Work Week calendar view opens.']",2
57,"In this image, what do you use to move between Mail, Calendar, People and Tasks?","['Quick Steps', 'Navigation Pane', 'Navigation Bar', 'To-DO Bar']",2
