,Question,Answers,Right Index
0,A dataset that includes _ can be used to create a map visualization. (Select all that apply.),"['A, B, C, D', 'A, C, D', 'B, C, D', 'D']",0
1,How do you create a chart visual in Power BI Desktop Report view? (Select all that apply.),"['A, B, or D', 'B or D', 'B orC', 'A or B']",3
2,What daily sales number does this DAX measure formula calculate?,"['running total sales in each month that starts over each month', 'total sales for the entire month', 'running total in entire year for the entire month', 'rolling average over 12 months of sales']",0
3,"You are creating a report in Power BI Desktop and want to restrict the data to records where Country=""Canada"". To accomplish this, what do you need to create?","['a directive', 'a custom column', 'an indexed column', 'a parameter']",0
4,"What is the primary benefit of using visualizations such as line charts, bar charts, and column charts?","['They are easier to create than other visualizations.', 'They require fewer resources than more complex visualizations.', 'They are also used in Excel, so they feel familiar to users.', 'They are free to use.']",1
5,"In Power BI service, deleted pages are available after deletion until","['midnight of the day on which they are deleted', 'the next billing cycle', 'you empty the Recycle Bin', 'the report has been saved']",3
6,You need to add a required color to a bar chart. How can you add an exact color value to an existing bar chart?,"['Click the color in the visual (e.g., the bars) and right-click to select the color.', 'You cannot select custom colors in a bar chart or related visual.', 'Select the value closest to this color from the color formatting options.', 'Enter the hex value into the color formatting options.']",0
7,The Excel function IF is nearly the same as which DAX function?,"['SWITCH', 'IF', 'IFX', 'IFS']",2
8,"Consider the Power BI extract, transform, and load process (ETL). During this process, data is read and then","['stored in SQL Server', 'written to an OLAP cube', 'assigned a data type', 'sorted by primary key']",0
9,Power BI's Publish to Web option allows you to embed visualizations within _. (Select all that apply.),"['A,C', 'C', 'A, B, C', 'A, B, C, D']",3
10,What can you do within the Power BI Desktop #### Query Settings pane? (Select all that apply.),"['B, C, D', 'A, B, C, D', 'A, B, D', 'A, B, C']",1
11,"After you enter text in the #### Q&A box or O&A visual, Power BI will \_ your data to create a list of appropriate visualizations.","['filter and group', 'sort and filter', 'sort, filter, and group', 'sort and group']",3
12,You just deleted a dashboard in the Power BI service and want to get it back. What should you do?,"['Press Ctrl+Z.', 'Select Undo from the toolbar.', 'You cannot undo the deletion of a dashboard.', '] Recover it from the Recycle Bin.', 'oof link1', 'k2']",0
13,You have a sales data source and want to relate the tables. The table that contains sales transactions is a _ table that contains product information is a _ table .,"['dimension; fact', 'lookup; data', 'data; lookup', 'data; supporting']",2
14,"When you are creating a formula in the Power Query Editor, what does IntelliSense provide a list of? (Select all that apply.)","['B,C', 'A, C, D', 'C,D', 'A, B, C']",3
15,You want to delete a dataset but the Power BI service will not let you. What is the most likely cause?,"['A tile on your dashboard contains data from that dataset.', 'The dataset is already being used in a published app.', 'A report contains data from that dataset.', 'The dataset is in your workspace.']",1
16,"One of your data columns includes the city, state, and postal code line of a mailing address. You need to separate the fields so you can access the geospatial elements for a map visualization. What transformation should you apply?","['Replace values', 'Split column', 'Modify data type', 'Best fit geospatial']",1
17,Formatting options within a visualization depend on what?,"['the visualization you are formatting', 'the editor you use', 'the visualization group', 'your permissions']",0
18,What tool can you use in Power BI Desktop to reduce data?,"['report editor', 'Power Query Editor', 'dashboard', 'data modeler']",3
19,What is NOT a valid data connection type for Power BI Desktop?,"['Azure data', 'file data', 'relationships data', 'database data']",2
20,Which data type can be uploaded directly to powerbi.com?,"['Excel files', 'comma-separated value (CSV) files', 'Power BI Desktop files', 'all of these answers']",3
21,What does Power BI Premium provide?,"['Power BI Report Server', 'report sharing without a per-user licens', 'all of these answers', 'dedicated capacity for your company']",2
