,Question,Answers,Right Index
0,"When you create a new, blank presentation, you begin with one blank slide. What is the layout name of this slide?","['Blank', 'Title slide', 'Title and Content', 'Title Onty']",1
1,What do you use to align objects on a slide to one another?,"['Layout tools', 'Arrange tools', 'Design Ideas feature', 'Picture tools']",1
2,Which option must be enabled if you want to manipulate the playback of a video file during a presentation?,"['Record Side Show', 'Use Presenter View', 'Show Playback Controls', 'Show Media Controls']",3
3,Which feature analyzes the content of your slides and offers suggested options?,"['Design ideas', 'Smartart', 'Browse for Themes', 'Add-Ins']",0
4,Where can you configure advanced PDF options?,"['the Options tab', 'the Home tab', 'the Print dialog box', 'the Share tab']",2
5,Which tab is best for adding various types of objects to slides?,"['Animations', 'view', 'File', 'Insert']",3
6,Which SmartArt category can you use to make informational graphics out of bullet points?,"['all of these answers', 'Pyramid', 'List', 'Matrix']",0
7,What is NOT checked when you run the Accessibility Checker?,"['reading order', 'slide titles', 'missing alt text', 'grammar']",3
8,How can you change the appearance of a table in one click?,"['Apply a cell stye.', 'Apply a graphic style.', 'Apply a table style.', 'Right-click a table and choose a new style.']",2
9,Which option changes a text box so that it automatically changes shape to fit longer text?,"['Resize shape to fit text', 'Do not autofit', 'none of these answers', 'Shrink text on overflow']",0
10,Which three shadow properties can be adjusted in PowerPoint?,"['A, B, C', 'A, C, E', 'B, C, D', 'C, D, E']",3
11,"You want your presentation to play continuously on screen, What option must you set?","['Use Presenter view', 'Advance slides manually', 'Advance slides automatically', ""Loop continuously until 'Esc'""]",3
12,Which statement about the Compress Pictures command is true?,"['You can compress all images at the same time.', 'You cannot delete cropped areas.', 'There are no options for print output.', 'You can compress only one image at a time.']",0
13,You have a Word document you would like to import as an outline into a PowerPoint presentation. How should you format the text in your Word document that you want to be the slide content?,"['Heading Style 2', 'Subtitle', 'Content Style', 'List 2']",0
14,In what manner can you filter comments?,"['by length', 'by author', 'by date', 'by urgency']",1
15,"Which Arrow Options choice will hide the mouse cursor when presenting, except when the cursor is moved?","['Automatic', 'Hidden', 'none of these answers', 'Visible']",0
16,Which chart type is best suited for displaying annual financial data for a 10-year period?,"['donut chart', 'line or area chart', 'area chart', 'pie chart']",1
17,"If you want to create an organizational chart, which SmartArt category works best?","['Pyramid', 'Relationship', 'Hierarchy', 'Matrix']",2
18,"When printing multiple handouts, which option will group multipage documents together and make them easier to distribute?","['Print on Both Sides', 'Uncollated', 'Print One-sided', 'Collated']",3
19,How can you adjust which data in a table is used when working on a chart?,"['Click the Switch Row/Column button.', 'Click the Refresh Data button.', 'Click the Select Data button.', 'Click the Edit Data button.']",2
20,Which view lets you see additional information on a second monitor when delivering a presentation?,"['Normal view', 'Reading view', 'Slide Sorter view', 'Presenter view']",3
21,A picture looks good in your slide show but pixelated when you print it. How can you fix this?,"['Compress the picture and use the Print (220 ppi) resolution setting.', 'Select Best scale for slide show, increase the picture resolution and resize the picture to the original size', 'Remove picture compression.', 'Change the printer property settings to print in a higher resolution.']",2
22,You have inserted a video on a slide and want the video to automatically start 2 seconds after the associated slide appears. How can you accomplish this?,"['Use playback timings.', 'Use animation timings.', 'Use animation triggers.', 'Use video timings.']",1
