,Question,Answers,Right Index
0,Which feature allows you to copy attributes of selected text and apply them to another selection?,"['Merge Formatting command', 'Copy and Paste Styles command', 'Copy and Paste Attributes command', 'Format Painter tool']",3
1,"To protect a document from accidental changes, which option should you select from the Protect Document (Windows) or Protect (Mac) menu?","['Mark as Final.', 'Add a Digital Signature.', 'Encrypt with Password.', 'Always Open Read-Only.']",3
2,"You are finalizing a two-page document. Rather than having Word decide where page 1 ends, you want the next paragraph to begin on the top of page 2. How do you achieve this?","['Change the bottom margin to your current location.', 'Insert a page break.', 'Press Shift + Enter (Shift + Return).', 'Insert a column break.']",1
3,How do you insert the content of an existing Word document into your current Word document?,"['Click Layout > Text > Text from File.', 'Click Insert > Text > Building Blocks Organizer.', 'Click Insert > Text > Text from File.', 'Click Insert > Media.']",2
4,You want to set a wider inside margin to accommodate binding a document where pages are printed in both sides. Which option should you choose in the Page Setup dialog box?,"['Book Fold.', 'Different Odd & Even Pages.', 'Mirror Margins.', 'Landscape.']",0
5,Which feature lets you place a ghosted logo or text behind the regular text on your document?,"['Background.', 'Watermark.', 'Imagemark.', 'Overlay.']",1
6,Where do you select the paper size for a document?,"['Design > Size.', 'File > Page Setup.', 'Layout > Size.', 'Layout > Margins.']",2
7,Which option lets you mark your favorite templates for quick reuse in the future?,"['Drag to Home tab.', 'Add to chooser.', 'Pin to list.', 'Mark as favorite.']",2
8,You want to add a caption to a table. Which tab contains this option?,"['Insert tab.', 'Design tab.', 'References tab.', 'Layout tab.']",2
9,How can you change the appearance of an entire table in a single step?,"['Apply a table style.', 'Apply a graphic style.', 'Right-click a table and choose a new style.', 'Apply a cell style.']",0
10,Which option does the Find and Replace feature NOT support?,"['Whole Word Only.', 'Replace All.', 'Check Spelling.', 'Match Case.']",2
11,Which statement best describes how a bookmark is used in a Word document?,"['A bookmark is a hyperlink where the label is automatically generated.', 'A bookmark works in conjunction with hyperlinks to allow you to quickly jump to a specific location in your document.', 'A bookmark is a link in your document that can give you quick access to webpages, files, and other locations within your document.', 'A bookmark is a color-coded graphic that appears in the navigation pane for easy access to a specific location in your document.']",1
12,What is NOT an option when inviting a colleague to collaborate on a document?,"['including a personalized message', 'giving the collaborator the option to edit a document', ""setting the collaborator's access to view only"", 'granting administrator access']",3
13,You split a document into three sections. What happens if you change the margins in the first section?,"['The document reverts back to a single section with the new margin settings.', 'The new margin settings are applied to all of the sections.', 'The new margin settings are applied to the second and third sections.', 'The new margin settings are applied to just the first section.']",3
14,Which ribbon tab includes commands to add various types of objects or media to your document?,"['Insert', 'File', 'Layout', 'Design']",0
15,"What type of page is useful at the front of a large document, to identify the document title, author, and other metadata?","['cover page', 'blank page', 'master page', 'table of contents page']",0
16,What happens in this SmartArt object when you press the Delete key?,"['The boxes resize to maintain the same overall height.', 'The object is deleted and a hole is left behind.', 'The text merges with the second box.', 'The gaps between the boxes close and the boxes remain the same size.']",0
17,What happens in this SmartArt diagram when you delete the selected object?,"[""The text from the deleted box merges with the next box's text."", 'The selected object is deleted and the spacing is preserved where the object was.', 'The remaining objects resize to maintain the same overall height.', 'The gaps between the objects close and the objects remain the same size.']",2
18,Which command builds an overview of document contents based on applied headings styles?,"['Manage Sources', 'Cross-Reference', 'Insert Index', 'Table of Contents']",3
19,Which statistic does the Word Count feature NOT collect?,"['paragraphs', 'lines', 'page breaks', 'characters (no spaces)']",2
20,What is the default view when you open a document or create a new document?,"['Print Layout view', 'Draft view', 'Edit view', 'Web Layout view']",0
