,Question,Answers,Right Index
0,"When you have a subquery inside of the main query, which query is executed first?","['The subquery is never executed. Only the main query is executed.', 'They are executed at the same time', 'the main query', 'the subquery']",3
1,"You need to export the entire database, including the database objects, in addition to the data. Which command-line tool do you use?","['mysqlexport', 'mysqladmin', 'mysqldump', 'mysqld']",2
2,You must ensure the accuracy and reliability of the data in your database. You assign some constraints to limit the type of data that can go into a table. What type of constraints are you assigning?,"['row level', 'database level', 'column level', 'function level']",2
3,Which option of most MySQL command-line programs can be used to get a description of the program's different options?,"['--options', '?', '--help', '-h']",2
4,MySQL uses environment variables in some of the programs and command-line operations. Which variable is used by the shell to find MySQL programs?,"['DIR', 'HOME', 'PATH', 'MYSQL_HOME']",2
5,How can you create a stored procedure in MySQL?,['A'],-1
6,"If you were building a table schema to store student grades as a letter (A, B, C, D, or F) which column type would be the best choice?",['B'],0
7,Management has requested that you build an employee database. You start with the employee table. What is the correct syntax?,['C'],-1
8,You are working with the tables as shown in this diagram. You need to generate the list of customers who purchased certain car models. Which SQL clause do you use?,['D'],-1
9,Which query would NOT be used to administer a MySQL server?,"['ENUM', 'OTEXT', 'VARCHAR', 'LONGTEXT']",0
10,"MySQL server can operate in different SQL modes, depending on the value of the sql_mode system variable. Which mode changes syntax and behavior to conform more closely to standard SQL?",['A'],-1
11,MySQL programs are a set of command-line utilities that are provided with typical MySQL distributions. MySQL is designed to be a database.,['B'],-1
12,Which MySQL command shows the structure of a table?,['C'],-1
13,"MySQL uses security based on _ for all connections, queries, and other operations that users can attempt to perform.",['D'],0
14,Which MySQL command modifies data records in a table?,"['LIKE', 'IN', 'BETWEEN', 'HAVING']",1
15,What is the best type of query for validating the format of an email address in a MySQL table?,"['USE db', 'SELECT column FROM tbl', 'SHOW COLUMNS FROM tbl', 'SHOW TABLES']",1
16,"In MySQL, queries are always followed by what character?","['TRADITIONAL', 'ANSI', 'MSSQL', 'STRICT']",1
17,How can you remove a record using MySQL?,"['database and programming', 'user and administrator', 'client and server', 'syntax and objects']",2
18,Which choice is NOT a statement you would use to filter data?,"['INFO table;', 'SHOW table;', 'STRUCTURE table;', 'DESCRIBE table;']",3
19,What does the following SQL statement return?,"['administrator schema', 'encrypted algorithms', 'user settings', 'access control lists']",3
