,Question,Answers,Right Index
0,What is an example of dynamic binding?,"['any method', 'method overloading', 'method overriding', 'compiling']",2
1,For which case would the use of a static attribute be appropriate?,"['the number of people in each house in a small neighborhood', 'the lot size for each house in a small neighborhood', 'the color of each house in a small neighborhood', 'the weather conditions for each house in a small neighborhood']",3
2,"1 Why would you create an abstract class, if it can have no real instances?","['to avoid redundant coding in children', 'to explore a hypothetical class', 'to prevent unwanted method implementation', 'to reserve memory for an unspecified class type']",0
3,"2 Why would you create an abstract class, if it can have no real instances?","['to have common behavior in derived classes', 'to explore a hypothetical class', 'to prevent unwanted method implementation', 'to reserve memory for an unspecified class type']",0
4,When does static binding happen?,"['only when you export', 'both at compile time and runtime', 'at compile time', 'at runtime']",2
5,What is the best reason to use a design pattern?,"['It will result in code that is more extensible and maintainable', 'It will result in a more compact product.', 'It will speed initial development.', 'It will allow you to add that design pattern to your resume.']",0
6,What is encapsulation?,"['defining classes by focusing on what is important for a purpose', 'hiding the data and implementation details within a class', 'making all methods private', 'using words to define classes']",1
7,What is an IS-A relationship?,"['It implies encapsulation.', 'A superclass object has an IS-A relationship with its subclass.', 'It implies a virtual method.', 'A subclass object has an IS-A relationship with its superclass or interface']",3
8,You want a method with behavior similar to a virtual method--it is meant to be overridden --expect that it does not have a method body. It just has a method signature. What kind of method should you use?,"['an abstract method', 'a public internal method', 'an internal method', 'a protected internal method']",0
9,Which code creates a new object from the Employee class?,"['Employee currentEmployee = Employee.Create();', 'Employee currentEmployee = new Employee();', 'Employee currentEmployee;', 'Employee currentEmployee = Employee.New();']",1
10,Which type of constructor cannot have a return type?,"['default', 'copy', 'parameterized', 'Constructors do not have a return type']",3
11,1 When is a constructor executed?,"['when an object is created from a class using the new keyword', 'when an class is defined using the class keyword', 'every time an object is referenced', 'when an object is created from a class using the create keyword']",0
12,2 When is a constructor executed?,"['when an object is created from a class', 'when an class is defined using the class keyword', 'every time an object is referenced', 'when an object is created from a class using the create keyword']",0
13,"If a local class is defined in a function, what is true for an object of that class?","['The object can be accessed, declared, and used locally in that function.', 'The object must be declared inside any other function.', 'The object is temporarily accessible outside the function.', 'The object can call all the other class members anywhere in the program.']",0
14,Which two blocks are used to handle and check errors?,"['do and check', 'catching and trying', 'try and catch', 'do and while']",2
15,Why would you implement composition using an id instead of a reference?,"['It makes it easier to save the entity.', 'all of these answers', 'It can make the entity retrieval more efficient', 'It minimizes coupling.']",1
