,Question,Answers,Right Index
0,"When rendering a partial in a view, how would you pass local variables for rendering?","['<%= render partial: ""nav"", selected: ""about""}%>', '<%= render partial: ""nav"", local_variables: {selected: ""about""} %>', '<%= render partial: ""nav"", locals: {selected: ""about""}']",2
1,"Within a Rails controller, which code will prevent the parent controller's before_action :get_feature from running?","['skip_before_action :get_feature', 'skip :get_feature, except: []', 'prevent_action :get_feature', ':redis_cache_store']",0
2,Which statement correctly describes a difference between the form helper methods form_tag and form_for?,"['The form_tag method is for basic forms, while the form_for method is for multipart forms that include file uploads.', 'The form_tag method is for HTTP requests, while the form_for method is for AJAX requests.', 'The form_tag method typically expects a URL as its first argument, while the form_for method typically expects a model object.', 'The form_tag method is evaluated at runtime, while the form_for method is precompiled and cached.']",2
3,What is before_action (formerly known as before_filter)?,"[""A trigger that is executed before an alteration of an object's state"", 'A method that is executed before an ActiveRecord model is saved', 'A callback that fires before an event is handled', 'A method in a controller that is executed before the controller action method']",3
4,Which module can you use to encapsulate a cohesive chunk of functionality into a mixin?,"['ActiveSupport::Concern', 'RailsHelper.CommonClass', 'ActiveJob::Mixin', 'ActiveSupport::Module']",0
5,"In Rails, which code would you use to define a route that handles both the PUT and PATCH REST HTTP verbs?","['put :items, include: patch', ""put 'items', to: 'items#update'"", ""match 'items', to 'items#update', via: [:put, :patch]"", 'match :items, using: put && patch']",2
6,Which choice includes standard REST HTTP verbs?,"['GET, POST, PATCH, DELETE', 'REDIRECT, RENDER, SESSION, COOKIE', 'INDEX, SHOW, NEW, CREATE, EDIT, UPDATE, DESTROY', 'CREATE, READ, UPDATE, DELETE']",0
7,Which ActiveRecord query prevents SQL injection?,"['Product.where(""name = #{@keyword}"")', 'Product.where(""name = "" << @keyword}', 'Product.where(""name = ?"", @keyword', 'Product.where(""name = "" + h(@keyword)']",2
8,"Given this code, which statement about the database table ""documents"" could be expected to be true?","['It would include a column for :type.', 'It would include columns for :documentable_id and :documentable_type.', 'It would include columns for :documentable and :type.', 'It would include a column for :polymorphic_type.']",1
9,Are instance variables set within a controller method accessible within a view?,"['Yes, any instance variables that are set in an action method on a controller can be accessed and displayed in a view.', 'Yes, instance variables set within an action method are accessible within a view, but only when render is explicitly called inside the action method.', 'No, instance variables in a controller are private and are not accessible.', 'No, instance variables can never be set in a controller action method.']",0
10,"When a validation of a field in a Rails model fails, where are the messages for validation errors stored?","['my_model.errors[:field]', 'my_model.get_errors_for(:field)', 'my_model.field.error', 'my_model.all_errors.select(:field)']",0
11,"If a database table of users contains the following rows, and id is the primary key, which statement would return only an object whose last_name is ""Cordero""?","['User.where(first_name: ""Carrie"")', 'User.not.where(id: [1, 2, 4, 5])', 'User.find_by(first_name: ""Cordero"")', 'User.find(3)']",3
12,How would you generate a drop-down menu that allows the user to select from a collection of product names?,"['<%= select_tag(@products) %>', '<%= collection_select(@products) %>', '<select name=""product_id""> <%= @products.each do |product| %> <option value=""<%= product.id %>""/> <% end %></select>', '<%= collection_select(:product, :product_id, Product.all, :id, :name) %>']",3
13,"For a Rails validator, how would you define an error message for the model attribute address with the message ""This address is invalid""?","['model.errors = This address is invalid', 'errors(model, :address) << ""This address is invalid""', 'display_error_for(model, :address, ""This address is invalid"")', 'model.errors[:address] << ""This address is invalid""']",3
14,"Given the URL helper product_path(@product), which statement would be expected to be false?","['If sent using the PATCH HTTP method, the URL could be used to update a product in the database.', 'If sent using the POST HTTP method, the URL would create a new product in the database.', 'If sent using the GET HTTP method, the URL would execute the show action in ProductsController.', 'If sent using the DELETE HTTP method, the URL would call the destroy action by default.']",1
15,"Given this code, which choice would be expected to be a true statement if the user requests the index action?","[""The user's documents will be loaded."", 'The index action will run normally because :index is not listed as an argument to before_action.', 'The require_login method will automatically log in the user before running the index action.', 'The index action will not be run if the require_login method calls render or redirect_to.']",3
16,"In Rails, how would you cache a partial template that is rendered?","['render partial: â€کshared/menuâ€™, cached: true', 'render_with_cache partial: â€کshared/menuâ€™', 'render partial: â€کshared/menuâ€™', 'render partial: â€کshared/menuâ€™, cached_with_variables: {}']",0
17,What is the reason for using Concerns in Rails?,"['Concerns allow modularity and code reuse in models, controllers, and other classes.', 'Concerns are used to separate class methods from models.', 'Concerns are used to increase security of Rails applications.', 'Concerns are used to refactor Rails views.']",0
18,"When using an ActiveRecord model, which method will create the model instance in memory and save it to the database?","['build', 'new', 'create', 'save']",2
