,Question,Answers,Right Index
0,Which answer is NOT a type of table index?,"['nonclustered', 'unique', 'heap', 'hash']",2
1,"The keywords AND, IN, LIKE, and between all belong to a category called what?","['joining operations', 'linking operations', 'criteria operations', 'logical operations']",3
2,What is the result of this series of statements?,"['Foo', 'FooBar', 'Foo Bar', 'Bar']",0
3,"Given these two tables, which query generates a listing showing student names and the department office location where you could reach each student?","['SELECT Students.first_name, Students.last_name, Departments.office_location FROM Students, Departments;', 'SELECT Students.first_name, Students.last_name, Departments.office_location FROM Students JOIN Departments ON Students.department = Departments.department;', 'SELECT Students.first_name, Students.last_name, Departments.office_location FROM Students JOIN Departments;', 'SELECT Students.first_name, Students.last_name, Departments.office_location FROM Students ON Students.department = Departments.department;']",1
4,What is an example of a DDL command in SQL?,"['TRUNCATE TABLE', 'DELETE', 'MERGE', 'DROP']",3
5,"Given the Games table pictured, which query generates the results shown?",[''],-1
6,Which answer is a possible result of the sequence of commands below?,[''],0
7,"You need to find all students that are not on the ""Chemistry Cats"" team. Which query does NOT work for this task?",[''],-1
8,You need to write a query that returns all Employees that have a LastName starting with the letter A. Which WHERE clause should you use to fill in the blank in this query?,[''],-1
9,"Which query shows the first name, department, and team of all students with the two lowest points?","['1', 'bb261196-66a5-43af-815d-123fc593cf3a', 'z350mpj1-62lx-40ww-9ho0-4u1875rt2mx4', '0x2400001155F04846674AD4590F832C0']",1
10,What is the result of this statement?,[''],0
11,Which is the best approach to update the last name of the student Donette Figgins to Smith,[''],-1
12,Which of these data types is an approximate numeric?,[''],-1
13,You need to remove all data from a table name Products. Which query fully logs the removal of each record?,[''],-1
14,What is the result of this query?,"['WHERE LastName = A*', ""WHERE LastName = LIKE '%A%'"", ""WHERE LastName LIKE 'A%'"", ""WHERE LastName IN ('A*')""]",2
15,which data type will most efficiently store a person's age in years?,"['SELECT LIMIT(2) first_name, department, team FROM Students ORDER BY points ASC;', 'SELECT TOP(2) first_name, deprtment, team FROM Students ORDER BY points DESC;', 'SELECT TOP(2) WITH TIES first_name, department, team FROM Students ORDER BY points;', 'SELECT BOTTOM(2) first_name, department, team FROM Students ORDER BY points ASC;']",2
16,What is the result of this query?,"['-1234.3', '-1234', '-1235', '1234.321']",2
17,"To select a random student from the table, which statement could you use?","[""UPDATE Students SET last_name = 'Smith' WHERE email = 'dfiggins@rouxacademy.com';"", ""UPDATE Students SET last_name = 'Figgins' WHERE email = 'dfiggins@rouxacademy.com';"", ""UPDATE Students SET last_name = 'Figgins' WHERE last_name = 'Smith' AND first-name = 'Donette';"", ""UPDATE Students SET last_name = 'Smith' WHERE last_name = 'Figgins' AND first-name = 'Donette';""]",3
18,What result is returned after executing the following commands?,"['real', 'bit', 'decimal', 'numeric']",0
19,Which statement creates a new database schema named Sales and establish Sharon as the owner?,"['TRUNCATE FROM Products *;', 'DELETE FROM Products;', 'DELETE * FROM Products;', 'TRUNCATE TABLE Products;']",1
20,"The result of a CROSS JOIN between a table with 4 rows, and one with 5 rows, will give with _ rows.","['0.5', 'error', '0', '2']",2
21,"You need to write a query that returns all products that have a SerialNumber ending with ""10_3"". Which WHERE clause should you use to fill in the blank in this query?","['float', 'int', 'tinyint', 'bigint']",2
22,"When no join type between multiple tables in a query's FROM clause is specified, what type of join is assumed?","['abc\\def', 'abcdef', 'error', 'abc def']",1
