,Question,Answers,Right Index
0,What can you use to visually distinguish between Play mode and Design mode in the editor?,"['The object inspector', 'Handles', 'Gizmos', 'Play mode tint']",3
1,"A developer executes the C# code below, which finds any game objects tagged as â€œenemyâ€‌ in a start event. But the developer notices that, when executed, FindGameObjectsWithTag returns NULL even though the scene contains objects tagged as â€œEnemyâ€‌. What is a possible cause?","['The objects are animated', 'The objects are on the UI layer', 'The objects are not named â€œEnemyâ€\u200c', 'The objects are deactivated']",3
2,What does this code sample achieve? Float Answer = Random.value * 10f;,"['It selects a random number that is less than 10', 'It selects a random number greater than 10', 'It selects a random number between 0 and 10', 'It selects a random number that is multiple of 10']",2
3,Unity scenes may be saved entirely in the YAML format. Why might you do this?,"['To reduce scene file size', 'To externally parse a scene and its objects', 'To optimize scene loading and unloading', 'To improve platform compatibility']",1
4,Orthographic cameras remove which visual effect?,"['Gamma color space', 'Depth of field', 'Foreshortening', 'Bloom']",2
5,What is Cinemachine Virtual Camera used for?,"['To override standard scene cameras with cinematic behaviours', 'To determine what cameras will see when arriving at specific locations', 'To create predefined camera presets to apply on standard cameras', 'To act as dummy cameras for fooling meshes into thinking they are being seen']",2
6,What does the Microphone class save captured audio data as?,"['An audio clip asset', 'An MP3 file', 'A WAV file', 'An OGG file']",0
7,Cinemachine offers tools for building gameplay behaviours. Which component makes spline based paths for moving objects?,"['Cinemachine Target Group', 'Cinemachine Smooth Path', 'Cinemachine Free Look', 'Cinemachine Brain']",1
8,When building assets like meshes for Unity. It is good practice to use which measurement unit?,"['Cubits', 'Feet', 'Inches', 'Meters']",3
9,The Collaborate feature of Unity Teams empowers whom to do what?,"['Developers to contribute to the unity source code', 'Companies to raise money for projects through crowdfunding', 'Team members to save, share, and sync unity projects', 'Developers to integrate version control systems, like git, into projects']",2
10,The Clear Flags property of the Camera components affects which behaviour?,"['How the camera renders UI objects on top of the scene', 'How the camera renders transparent objects by default', 'How the camera renders its background on each frame', 'How the camera occludes background objects']",2
11,What is the OnAnimatorMove event on MonoBehaviour objects commonly used for?,"['Detecting when an object moves', 'Updating a navigation agent in response to keyframe data', 'Replaying an animation when it has completed', 'Modifying the root motion of an animated object']",3
12,Which MonoBehaviour method runs by default in Editor mode?,"['OnBecameInvisible', 'OnAnimatorMove', 'Reset', 'OnTriggerEnter']",3
13,"For the OnTriggerEnter function to invoke successfully on a collision between two objects, at least one must have which two components?","['A Collider and a MeshRenderer', 'A Collider and a MeshFilter', 'A Rigidbody and a Collider', 'A MeshRenderer and a MeshFilter']",2
