,Question,Answers,Right Index
0,You've created a timeline by using the Timeline template in the Schedule template category. You've just learned that project has been extended by another month. How do you change the end date on the timeline?,"['Double-click the timeline, change the Finish date, and then click OK.', 'Select the timeline shape, then drag the control handle on the right end of the timeline to the right.', 'Re-create the timeline using the updated finish date.', 'Right-click the timeline, select Configure Timeline, change the Finish date, and then click OK.']",3
1,What is the correct order of the three basic steps required to create nearly all diagrams?,['A'],0
2,What is the difference between the Drawing tools in the Tools group on the Home tab and the Drawing tools on the Mini Toolbar?,['B'],-1
3,Which of these is not one of the standard data sources that is available when running the Data Selector Wizard?,['C'],-1
4,"A rack diagram is an example of a _, one in which the size of the shapes on the page is dependent on the size and scale of the page itself.",['D'],-1
5,What do you call the spreadsheet-like data store that exists behind every object in Visio?,"['The tools on the Mini Toolbar draw shapes with red borders.', 'The tools on the Home tab automatically revert to the Pointer tool after drawing one shape.', 'The tools on the Home tab draw shapes with dashed-line borders.', 'The tools on the Mini Toolbar automatically revert to the Pointer tool after drawing one shape.']",3
6,You've created a one-page organization chart but would like to remove the picture placeholders from all of the org chart shapes. How do you do it?,"['Microsoft Outlook tasks list', 'Microsoft Access database', 'Microsoft SQL Server database', 'Microsoft SharePoint Foundation list']",0
7,What is a connector in Visio?,"['two-dimensional drawing', 'units drawing', 'metric drawing', 'scaled drawing']",0
8,Which flowchart shape indicates a question or branch in the process flow?,"['ShapeSheet', 'variable list', 'workspace', 'Master']",0
9,Some Business Process Model Notation (BPMN) shapes are further annotated by attaching a callout shape. Which option is associated with a callout shape?,"['Select all shapes on the page, then on the Org Chart tab, in the Picture group, click Show/Hide.', 'Ensure that no shapes are selected, then on the Org Chart tab, in the Picture group, click Show/Hide.', 'Select the Executive shape, then on the Org Chart tab, in the Picture group, click Show/Hide.', 'Right-click the Executive shape, select Picture, and then select Hide.']",0
10,"When a shape is rotated in Visio, what does it rotate around?","['a visual boundary around sets of objects that also builds logical relationships', 'a container that maintains an ordered relationship among its members', 'a shape that is glued to others to add comments', 'a one-dimensional shape that is used to connect two shapes']",3
11,Which is one of the template categories in the Visio Standard desktop app?,['A'],-1
12,What does the icon in the lower-right corner of the organizational shape indicate?,['B'],0
13,"You need to create a diagram showing many servers, switches, and other devices in a large corporate environment. Which diagram should you use?",['C'],-1
14,"You added a container with no exclusions to a page. It looks like shapes are in the container, but when you move the container, the shapes do not move. How do you give the container and shapes a specific relationship?",['D'],-1
15,Which of these defines the relative front-to-back position of the shape of a drawing?,"['Message Flow', 'Association', 'Data Object', 'Text Annotation']",3
16,"On a Visio organization chart, which is not one of the standard shapes?","['the center of the page', ""the shape's pin position"", ""the shape's center of gravity"", 'the origin on the rulers']",1
17,You need to save a Visio drawing that contains a VBA macro. Which file format do you use?,"['Engineering', 'Software and Database', 'Maps and Floor Plans', 'Science']",1
18,"If you want to move a shape using the mouse, which key should you hold down so that the movement is restricted to being only horizontal or vertical?","['Belt shape', 'hidden subordinates', 'synchronized copy', 'executive position']",1
19,How do you constrain the Rectangle and Ellipse tools so they draw only squares or circles?,"['detailed network diagram', 'rack diagram', 'baseline', 'wiring schematic']",0
20,"How do you view a Visio diagram in full-screen view, i.e., with no ribbon or windows?","['Use the Container Tools Format tab and under Membership, use Select Contents to add the shapes.', 'Center the container over the top of the shapes.', 'Select all the shapes to be added, right-click, and select Container > Add to Underlying Container.', 'Select the container and use the commands in the Format tab to add the shapes.']",2
21,"Which report would you run to provide equipment shape text, network name, network description, building, room, and asset number?","['layer', 'z-order', 'x-coordinate', 'y-coordinate']",1
22,You are inserting a hyperlink from one shape in a Visio drawing to another shape. Which of these attributes of the target shape must you specify as part of the hyperlink?,"['manager', 'executive', 'associate', 'assistant']",3
23,Management asked you to build an organization chart showing each employee's hire date and years of service separately from the shape data. Which data graphic should you use to show this data?,"['.vsdm', '.vstx', '.vssx', '.vsdx']",3
24,Which of these options is available when you select some shapes and then click the arrow on the Position button in the Arrange group on the Home tab?,"['Alt', 'Ctrl', 'Tab', 'Shift']",3
25,Why would you use an icon set in your drawing?,"['Hold down the Shift key while dragging the selection handle.', 'Hold down the Ctrl key while dragging the selection handle.', 'Hold down the Tab key while dragging the selection handle.', 'Hold down the Shift key while dragging the selection handle.']",0
26,Which is not a way to disable AutoConnect with the Quick Shapes menu?,"['Press Shift+F7.', 'Press Shift+F5.', 'Press F7.', 'Press F5.']",3
27,How do you add a foreground page immediately after the current foreground page?,"['Network Equipment', 'Network Device', 'PC Report', 'Inventory']",0
28,Which is not one of the standard options for reducing the file size of a drawing?,"['Z-Order', 'Type', 'Name', 'Master']",1
29,How do you move among multiple documents when you have them all open in the same instance of Visio?,"['insertion bar', 'data bar', 'text callout', 'icon set']",1
30,"You have dragged a table shape from the Office Furniture stencil into an office layout diagram, but it is not the correct width. Which method can you not use to set the width of the table?","['Auto Align', 'Auto Space', 'Align Center', 'Align Right']",0
31,What key combination do you use to return to viewing the whole page in Visio?,"['to simply show data in the form of text, or to show text plus other symbols related to data, such as currency symbols', 'to show conditions; to visualize data in grouped percentages, amounts, or degrees; and simply to represent data in yes-or-no format', 'to show percentages, ratings, progressions, scores, and amounts for comparing symbols and identifying symbol performance', 'to fill shapes with color according to their data, such as identifying all shapes of a color as ""on"" and different colored shapes as ""off""']",1
32,What is the unique feature of rack equipment shapes that would lead you to think that the rack and the equipment shape have active connections points?,"['On the View tab, in the Visual Aids group, clear the AutoConnect check box.', 'On the File tab, open the Options dialog. In the Advanced group, clear Enable AutoConnect.', 'In the Quick Shapes menu, select a connector or container shape first. This way, no shapes will appear on the Quick Shapes menu.', 'Open the Document Stencil and move all shapes out of the ""Drop Quick Shapes here"" area.']",3
33,Which file format does not give you the choice of saving a subset of your drawing pages into the format you want?,"['From the Insert tab, in the Pages group, click the New Page button.', 'Right-click the page name tab, click Page Setup, enter a new name in the Name box, and select Foreground.', 'Right-click the page name tab, click Insert, and on the Page Properties tab, select Foreground.', 'From the Insert tab, in the Pages group, click the New Page arrow and select Blank Page.']",2
34,Which of the following is a type of shape data list from which users can select an entry or can enter a new value?,"['remove preview picture', 'compress shape data', 'remove unused themes, data graphics, and styles', 'remove unused master shapes']",1
35,Which is not one of the seven properties in the Layer Properties dialog box?,"['Press Ctrl+F6.', 'Press Shift+F6.', 'Press Ctrl+Shift+F6.', 'On the View tab, in the Window group, click the Next Window button.']",0
36,,['A'],0
37,,['B'],-1
38,,['C'],-1
39,,['D'],-1
40,,"['Ctrl+Home', 'Ctrl+W', 'Ctrl+Shift+W', 'Esc']",2
41,,"['They look like 2D shapes, yet behave like lines, dynamic connectors, and other one-dimensional shapes.', 'They look like 3D shapes, yet behave like lines, dynamic connectors, and other two-dimensional shapes.', 'They look like 2D shapes, yet behave like lines, dynamic connectors, and other three-dimensional shapes.', 'They look like 3D shapes, yet behave like lines, dynamic connectors, and other one-dimensional shapes.']",0
42,,"['.html', '.dwg', '.xps', '.pdf']",1
43,,"['Visio list', 'list', 'variable list', 'fixed list']",2
44,,"['Lock', 'Group', 'Active', 'Color']",0
